row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2022VND,2021VND,,
Saigon Beer Center Trading Joint Stock Company,Saigon Beer Center Trading Joint Stock Company,Saigon Beer Center Trading Joint Stock Company,Saigon Beer Center Trading Joint Stock Company,Saigon Beer Center Trading Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"51,358,669",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"5,230,549,010","6,295,910,510",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"331,729,392,679","286,339,846,896",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"13,112,706,784","15,780,463,952",,
Dividends received,Dividends received,Dividends received,"28,772,816,515","51,516,702,940",,
Other transactions,Other transactions,Other transactions,"3,228,273,458","1,020,511,621",,
Saigon Beer Mien Trung Trading Joint Stock Company,Saigon Beer Mien Trung Trading Joint Stock Company,Saigon Beer Mien Trung Trading Joint Stock Company,Saigon Beer Mien Trung Trading Joint Stock Company,Saigon Beer Mien Trung Trading Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"30,549,803",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"102,439,960",-,,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"115,393,641,398","75,555,161,499",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"7,565,726,699","6,029,250,304",,
Other transactions,Other transactions,Other transactions,"929,586,171","494,433,710",,
Sai Gon Beer Tay Nguyen Trading Joint Stock Company,Sai Gon Beer Tay Nguyen Trading Joint Stock Company,Sai Gon Beer Tay Nguyen Trading Joint Stock Company,Sai Gon Beer Tay Nguyen Trading Joint Stock Company,Sai Gon Beer Tay Nguyen Trading Joint Stock Company,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"52,249,650","14,559,530",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"149,416,403,771","102,316,188,786",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"8,936,123,242","7,376,159,241",,
Dividends received,Dividends received,Dividends received,"33,075,752,788","38,206,229,975",,
Other transactions,Other transactions,Other transactions,"1,798,236,757","1,074,620,815",,
Saigon Beer Nam Trung Bo Trading Joint Stock Company,Saigon Beer Nam Trung Bo Trading Joint Stock Company,Saigon Beer Nam Trung Bo Trading Joint Stock Company,Saigon Beer Nam Trung Bo Trading Joint Stock Company,Saigon Beer Nam Trung Bo Trading Joint Stock Company,,
Provision of services,Provision of services,Provision of services,"1,028,880,000",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"15,700,600","5,483,680",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"200,136,392,849","136,361,211,059",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"10,458,887,370","8,988,744,050",,
Dividends received,Dividends received,Dividends received,"89,351,787,857","82,180,743,775",,
Other transactions,Other transactions,Other transactions,"1,681,955,335","1,658,680,040",,
Sai Gon Beer Eastern Trading Joint Stock Company,Sai Gon Beer Eastern Trading Joint Stock Company,Sai Gon Beer Eastern Trading Joint Stock Company,Sai Gon Beer Eastern Trading Joint Stock Company,Sai Gon Beer Eastern Trading Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"1,550,500",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,-,"3,523,680",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"204,730,034,068","167,541,982,043",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"12,131,105,780","15,060,331,946",,
Dividends received,Dividends received,Dividends received,"93,544,946,100","130,461,345,000",,
Other transactions,Other transactions,Other transactions,"6,510,346,100","1,810,799,367",,
Song Tien Saigon Beer Trading Joint Stock Company,Song Tien Saigon Beer Trading Joint Stock Company,Song Tien Saigon Beer Trading Joint Stock Company,Song Tien Saigon Beer Trading Joint Stock Company,Song Tien Saigon Beer Trading Joint Stock Company,,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"198,764,660,103","164,392,476,693",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"11,041,820,505","15,762,423,699",,
Dividends received,Dividends received,Dividends received,"46,238,400,000","98,373,600,000",,
Other transactions,Other transactions,Other transactions,"2,560,283,720","5,815,552,880",,
