row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,6.412.811.860.000,760.819.802.040,10.456.551.190.040,17.630.182.852.080,6412811860000.0,760819802040.0,10456551190040.0,17630182852080.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,3.633.952.531.584,3.633.952.531.584,,,3633952531584.0,3633952531584.0
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),-,-,(2.244.484.151.000),(2.244.484.151.000),,,-2244484151000.0,-2244484151000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)",-,-,(53.155.759.384),(53.155.759.384),,,-53155759384.0,-53155759384.0
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,6.412.811.860.000,760.819.802.040,11.792.863.811.240,18.966.495.473.280,6412811860000.0,760819802040.0,11792863811240.0,18966495473280.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,4.559.656.824.657,4.559.656.824.657,,,4559656824657.0,4559656824657.0
Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),Cổ tức (Thuyết minh 26),-,-,(3.206.405.930.000),(3.206.405.930.000),,,-3206405930000.0,-3206405930000.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 21)",-,-,(38.088.165.612),(38.088.165.612),,,-38088165612.0,-38088165612.0
Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,Trích quỹ công tác xã hội,-,-,(34.710.800.000),(34.710.800.000),,,-34710800000.0,-34710800000.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,6.412.811.860.000,760.819.802.040,13.073.315.740.285,20.246.947.402.325,6412811860000.0,760819802040.0,13073315740285.0,20246947402325.0
