row_label_raw,row_label_full,col_0,Share capital VND,Investment and development fund VND,Retained profits VND,Total VND,numeric__Share capital VND,numeric__Investment and development fund VND,numeric__Retained profits VND,numeric__Total VND
Balance as at 1 January 2021,Balance as at 1 January 2021,Balance as at 1 January 2021,"6,412,811,860,000","760,819,802,040","10,456,551,190,040","17,630,182,852,080",,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,"3,633,952,531,584","3,633,952,531,584",,,,
Dividends (Note 26),Dividends (Note 26),Dividends (Note 26),-,-,"(2,244,484,151,000)","(2,244,484,151,000)",,,,
Appropriation to bonus and welfare fund (Note 21),Appropriation to bonus and welfare fund (Note 21),Appropriation to bonus and welfare fund (Note 21),-,-,"(53,155,759,384)","(53,155,759,384)",,,,
Balance as at 1 January 2022,Balance as at 1 January 2022,Balance as at 1 January 2022,"6,412,811,860,000","760,819,802,040","11,792,863,811,240","18,966,495,473,280",,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,"4,559,656,824,657","4,559,656,824,657",,,,
Dividends (Note 26),Dividends (Note 26),Dividends (Note 26),-,-,"(3,206,405,930,000)","(3,206,405,930,000)",,,,
Appropriation to bonus and welfare fund (Note 21),Appropriation to bonus and welfare fund (Note 21),Appropriation to bonus and welfare fund (Note 21),-,-,"(38,088,165,612)","(38,088,165,612)",,,,
Appropriation to social activities fund,Appropriation to social activities fund,Appropriation to social activities fund,-,-,"(34,710,800,000)","(34,710,800,000)",,,,
Balance as at 31 December 2022,Balance as at 31 December 2022,Balance as at 31 December 2022,"6,412,811,860,000","760,819,802,040","13,073,315,740,285","20,246,947,402,325",,,,
