row_label_raw,row_label_full,col_0,Property held for future investment (*) VND,Returnable packaging VND,Tools and instruments and others VND,Total VND,numeric__Property held for future investment (*) VND,numeric__Returnable packaging VND,numeric__Tools and instruments and others VND,numeric__Total VND
Opening balance,Opening balance,Opening balance,"51,602,316,000","8,058,651,394","5,795,615,538","65,456,582,932",,,,
Additions,Additions,Additions,-,"7,475,502,960","3,290,547,540","10,766,050,500",,,,
Transfer from construction in progress,Transfer from construction in progress,Transfer from construction in progress,-,-,"2,974,617,569","2,974,617,569",,,,
Amortisation for the year,Amortisation for the year,Amortisation for the year,-,"(8,377,718,504)","(6,049,847,727)","(14,427,566,231)",,,,
Closing balance,Closing balance,Closing balance,"51,602,316,000","7,156,435,850","6,010,932,920","64,769,684,770",,,,
