row_label_raw,row_label_full,col_0,Code Note,Code Note_1,31/12/2022VND,1/1/2022VND,numeric__Code Note,numeric__Code Note_1,numeric__31/12/2022VND,numeric__1/1/2022VND
ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,ASSETS,,,,
Current assets(100 = 110 + 120 + 130 + 140 + 150),ASSETS > Current assets(100 = 110 + 120 + 130 + 140 + 150),Current assets(100 = 110 + 120 + 130 + 140 + 150),100,,"23,225,562,528,592","20,009,862,784,505",100.0,,,
Cash and cash equivalents,ASSETS > Cash and cash equivalents,Cash and cash equivalents,110,5,"2,924,304,281,432","2,611,792,885,629",110.0,5.0,,
Cash,ASSETS > Cash,Cash,111,,"181,904,281,432","91,792,885,629",111.0,,,
Cash equivalents,ASSETS > Cash equivalents,Cash equivalents,112,,"2,742,400,000,000","2,520,000,000,000",112.0,,,
Short-term financial investments,ASSETS > Short-term financial investments,Short-term financial investments,120,,"18,127,450,000,000","16,211,000,000,000",120.0,,,
Held-to-maturity investments,ASSETS > Held-to-maturity investments,Held-to-maturity investments,123,6(a),"18,127,450,000,000","16,211,000,000,000",123.0,,,
Accounts receivable – short-term,ASSETS > Accounts receivable – short-term,Accounts receivable – short-term,130,,"1,363,384,214,889","771,967,844,932",130.0,,,
Accounts receivable from customers,ASSETS > Accounts receivable from customers,Accounts receivable from customers,131,7,"768,163,629,107","216,896,685,146",131.0,7.0,,
Prepayments to suppliers,ASSETS > Prepayments to suppliers,Prepayments to suppliers,132,,"32,496,219,822","8,498,629,359",132.0,,,
Other short-term receivables,ASSETS > Other short-term receivables,Other short-term receivables,136,8(a),"839,955,099,503","870,408,040,557",136.0,,,
Allowance for doubtful debts,ASSETS > Allowance for doubtful debts,Allowance for doubtful debts,137,9(a),"(277,230,733,543)","(323,835,510,130)",137.0,,,
Inventories,ASSETS > Inventories,Inventories,140,10(a),"614,003,265,077","318,407,089,213",140.0,,,
Inventories,ASSETS > Inventories,Inventories,141,,"638,862,258,889","346,164,192,220",141.0,,,
Allowance for inventories,ASSETS > Allowance for inventories,Allowance for inventories,149,,"(24,858,993,812)","(27,757,103,007)",149.0,,,
Other current assets,ASSETS > Other current assets,Other current assets,150,,"196,420,767,194","96,694,964,731",150.0,,,
Short-term prepaid expenses,ASSETS > Short-term prepaid expenses,Short-term prepaid expenses,151,11(a),"120,103,413,490","59,188,031,592",151.0,,,
Deductible value added tax,ASSETS > Deductible value added tax,Deductible value added tax,152,,"55,744,504,730","12,464,531,235",152.0,,,
Taxes receivable from State Treasury,ASSETS > Taxes receivable from State Treasury,Taxes receivable from State Treasury,153,18(b),"20,572,848,974","25,042,401,904",153.0,,,
