row_label_raw,row_label_full,col_0,Transaction value,Transaction value_1,numeric__Transaction value,numeric__Transaction value_1
,,,2022VND,2021VND,,
Saigon Song Hau Beer Trading Joint Stock Company,Saigon Song Hau Beer Trading Joint Stock Company,Saigon Song Hau Beer Trading Joint Stock Company,Saigon Song Hau Beer Trading Joint Stock Company,Saigon Song Hau Beer Trading Joint Stock Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"8,594,357",-,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"9,082,200","2,836,380",,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"189,830,741,656","247,898,764,585",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"12,348,552,349","16,783,836,498",,
Dividends received,Dividends received,Dividends received,"181,195,477,309",-,,
Other transactions,Other transactions,Other transactions,"6,585,394,560","7,983,706,424",,
"Sa Be Co Mechanical Co., Ltd.","Sa Be Co Mechanical Co., Ltd.","Sa Be Co Mechanical Co., Ltd.","Sa Be Co Mechanical Co., Ltd.","Sa Be Co Mechanical Co., Ltd.",,
Purchases of maintenance expenses,Purchases of maintenance expenses,Purchases of maintenance expenses,"39,137,944,479","39,193,431,614",,
Purchases of tools and supplies,Purchases of tools and supplies,Purchases of tools and supplies,"13,043,095,167","17,225,513,912",,
Profits distribution,Profits distribution,Profits distribution,"1,158,509,481","4,376,352,430",,
Other transactions,Other transactions,Other transactions,"108,800,000","331,940,046",,
Saigon - Soc Trang Beer One Member Limited Company,Saigon - Soc Trang Beer One Member Limited Company,Saigon - Soc Trang Beer One Member Limited Company,Saigon - Soc Trang Beer One Member Limited Company,Saigon - Soc Trang Beer One Member Limited Company,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"439,997,664,342","369,605,952,429",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,134,654,151,310","1,112,046,895,090",,
Other transactions,Other transactions,Other transactions,"129,191,952","430,636,314",,
Sai Gon Beer Northeast Trading Joint Stock Company,Sai Gon Beer Northeast Trading Joint Stock Company,Sai Gon Beer Northeast Trading Joint Stock Company,Sai Gon Beer Northeast Trading Joint Stock Company,Sai Gon Beer Northeast Trading Joint Stock Company,,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"22,091,000",-,,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"86,823,768,881","76,410,541,056",,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"6,747,641,491","5,915,741,040",,
Dividends received,Dividends received,Dividends received,"24,974,468,974","28,872,972,000",,
Other transactions,Other transactions,Other transactions,"2,826,518,936","1,279,114,619",,
Sai Gon - Ha Tinh Beer One Member Company Limited,Sai Gon - Ha Tinh Beer One Member Company Limited,Sai Gon - Ha Tinh Beer One Member Company Limited,Sai Gon - Ha Tinh Beer One Member Company Limited,Sai Gon - Ha Tinh Beer One Member Company Limited,,
Sales of raw materials,Sales of raw materials,Sales of raw materials,"490,588,941,020","355,468,720,040",,
Provision of services,Provision of services,Provision of services,"1,554,115,788","1,554,115,788",,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,284,454,684,620","1,034,216,420,880",,
Profits distribution,Profits distribution,Profits distribution,"49,626,233,659","53,915,331,916",,
Other transactions,Other transactions,Other transactions,"331,629,975","280,841,385",,
Sai Gon Beer Packaging Joint Stock Company,Sai Gon Beer Packaging Joint Stock Company,Sai Gon Beer Packaging Joint Stock Company,Sai Gon Beer Packaging Joint Stock Company,Sai Gon Beer Packaging Joint Stock Company,,
Purchases of packaging materials,Purchases of packaging materials,Purchases of packaging materials,"232,771,836,450","143,912,415,950",,
Saigon Beer Group Company Limited,Saigon Beer Group Company Limited,Saigon Beer Group Company Limited,Saigon Beer Group Company Limited,Saigon Beer Group Company Limited,,
Sales of raw materials,Saigon Beer Group Company Limited > Sales of raw materials,Sales of raw materials,"937,463",-,937.463,
Purchases of merchandise goods,Purchases of merchandise goods,Purchases of merchandise goods,"1,285,836,000",-,,
Support for selling expenses,Support for selling expenses,Support for selling expenses,"54,974,180,024",-,,
Promotion goods expenses,Promotion goods expenses,Promotion goods expenses,"1,512,540,000",-,,
Capital contribution,Capital contribution,Capital contribution,"39,900,000,000",-,,
