row_label_raw,row_label_full,col_0,Số cuối năm > Số lượng,Số cuối năm > Giá trị,Số đầu năm > Số lượng,Số đầu năm > Giá trị,numeric__Số cuối năm > Số lượng,numeric__Số cuối năm > Giá trị,numeric__Số đầu năm > Số lượng,numeric__Số đầu năm > Giá trị
Cổ phiếu đăng ký phát hành,Cổ phiếu đăng ký phát hành,Cổ phiếu đăng ký phát hành,488.244.000,4.882.440.000.000,406.560.000,4.065.600.000.000,488244000.0,4882440000000.0,406560000.0,4065600000000.0
Cổ phiếu đã bán ra công chúng,Cổ phiếu đã bán ra công chúng,Cổ phiếu đã bán ra công chúng,488.244.000,4.882.440.000.000,406.560.000,4.065.600.000.000,488244000.0,4882440000000.0,406560000.0,4065600000000.0
Cổ phiếu phổ thông,Cổ phiếu phổ thông,Cổ phiếu phổ thông,488.244.000,4.882.440.000.000,406.560.000,4.065.600.000.000,488244000.0,4882440000000.0,406560000.0,4065600000000.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,-,-,,,,
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,-,-,-,-,,,,
Cổ phiếu phổ thông,Cổ phiếu phổ thông,Cổ phiếu phổ thông,-,-,-,-,,,,
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,-,-,,,,
Cổ phiếu đang lưu hành,Cổ phiếu ưu đãi > Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,488.244.000,4.882.440.000.000,406.560.000,4.065.600.000.000,488244000.0,4882440000000.0,406560000.0,4065600000000.0
Cổ phiếu phổ thông,Cổ phiếu ưu đãi > Cổ phiếu phổ thông,Cổ phiếu phổ thông,488.244.000,4.882.440.000.000,406.560.000,4.065.600.000.000,488244000.0,4882440000000.0,406560000.0,4065600000000.0
Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,Cổ phiếu ưu đãi,-,-,-,-,,,,
