row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác(Thuyết minh số 8),Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 8),Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 8),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Mối quan hệ > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn khác(Thuyết minh số 8),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác(Thuyết minh số 8)
Công ty TNHH MTV Năng lượng GELEX,Công ty TNHH MTV Năng lượng GELEX,Công ty TNHH MTV Năng lượng GELEX,Công ty con,Phải thu về lãi cho vay,46.064.164.385,26.000.958.901,,,46064164385.0,26000958901.0
Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty con,Phải thu về lãi cho vay,27.945.205,27.019.136.985,,,27945205.0,27019136985.0
Công ty TNHH MTV Gelex Land,Công ty TNHH MTV Gelex Land,Công ty TNHH MTV Gelex Land,Công ty con,Phải thu về lãi cho vay,-,42.465.754,,,,42465754.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,46.092.109.590,53.062.561.640,,,46092109590.0,53062561640.0
Phải trả người bán ngắn hạn(Thuyết minh số 16),Phải trả người bán ngắn hạn(Thuyết minh số 16),Phải trả người bán ngắn hạn(Thuyết minh số 16),Phải trả người bán ngắn hạn(Thuyết minh số 16),Phải trả người bán ngắn hạn(Thuyết minh số 16),Phải trả người bán ngắn hạn(Thuyết minh số 16),Phải trả người bán ngắn hạn(Thuyết minh số 16),,,,
Công ty TNHH MTV Gelex Land,Phải trả người bán ngắn hạn(Thuyết minh số 16) > Công ty TNHH MTV Gelex Land,Công ty TNHH MTV Gelex Land,Công ty con,Mua dịch vụ,6.305.918.963,-,,,6305918963.0,
Công ty TNHH MTV Sotrans Logistisc,Phải trả người bán ngắn hạn(Thuyết minh số 16) > Công ty TNHH MTV Sotrans Logistisc,Công ty TNHH MTV Sotrans Logistisc,Công ty con,Phí vận chuyển,1.395.432.669,-,,,1395432669.0,
Công ty Cổ phần Kho vận Miền Nam,Phải trả người bán ngắn hạn(Thuyết minh số 16) > Công ty Cổ phần Kho vận Miền Nam,Công ty Cổ phần Kho vận Miền Nam,Công ty con,Phí vận chuyển,-,477.400.000,,,,477400000.0
TỔNG CỘNG,Phải trả người bán ngắn hạn(Thuyết minh số 16) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.701.351.632,477.400.000,,,7701351632.0,477400000.0
Phải trả khác(Thuyết minh số 20),Phải trả khác(Thuyết minh số 20),Phải trả khác(Thuyết minh số 20),Phải trả khác(Thuyết minh số 20),Phải trả khác(Thuyết minh số 20),Phải trả khác(Thuyết minh số 20),Phải trả khác(Thuyết minh số 20),,,,
Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Phải trả khác(Thuyết minh số 20) > Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty con,Ký quỹ mua vật tư dài hạn,500.000.000.000,-,,,500000000000.0,
Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Phải trả khác(Thuyết minh số 20) > Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty con,Lãi ký quỹ mua vật tư,11.241.529.510,-,,,11241529510.0,
Công ty Cổ phần Chế tạo Điện Cơ Hà Nội,Phải trả khác(Thuyết minh số 20) > Công ty Cổ phần Chế tạo Điện Cơ Hà Nội,Công ty Cổ phần Chế tạo Điện Cơ Hà Nội,Công ty con,Ký quỹ mua vật tư Lãi ký quỹ mua vật tư,40.000.000.000821.917.807,-,,,4.000000000082192e+19,
Công ty TNHH MTV Sotrans Logistisc,Phải trả khác(Thuyết minh số 20) > Công ty TNHH MTV Sotrans Logistisc,Công ty TNHH MTV Sotrans Logistisc,Công ty con,Phí vận chuyển trả hộ,2.160.418.705,-,,,2160418705.0,
Công ty TNHH Một thành viên Gelex Land,Phải trả khác(Thuyết minh số 20) > Công ty TNHH Một thành viên Gelex Land,Công ty TNHH Một thành viên Gelex Land,Công ty con,Lãi vay,682.849.314,-,,,682849314.0,
Công ty Cổ phần Kho vận Miền Nam,Phải trả khác(Thuyết minh số 20) > Công ty Cổ phần Kho vận Miền Nam,Công ty Cổ phần Kho vận Miền Nam,Công ty con,Phí vận chuyển trả hộ,-,567.488.481,,,,567488481.0
TỔNG CỘNG,Phải trả khác(Thuyết minh số 20) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,554.906.715.336,567.488.481,,,554906715336.0,567488481.0
