row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND,numeric__Năm nay,numeric__Đơn vị tính: VND
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,89.286.509.147,284.175.876.969,89286509147.0,284175876969.0
Thuế TNDN theo thuế suất 20% áp dụng cho Tổng Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Tổng Công ty,Thuế TNDN theo thuế suất 20% áp dụng cho Tổng Công ty,17.857.301.829,56.835.175.394,17857301829.0,56835175394.0
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,32.827.602.479,28.120.729.614,32827602479.0,28120729614.0
Chi phí lãi vay không được khấu trừ,Chi phí lãi vay không được khấu trừ,Chi phí lãi vay không được khấu trừ,29.862.557.305,26.723.580.975,29862557305.0,26723580975.0
Chi phí không được khấu trừ khác,Chi phí không được khấu trừ khác,Chi phí không được khấu trừ khác,1.119.734.692,580.177.249,1119734692.0,580177249.0
Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,278.604.278,544.600.241,278604278.0,544600241.0
Các khoản phạt,Các khoản phạt,Các khoản phạt,-,272.371.149,,272371149.0
Tài sản thuế TNDN hoãn lại về lỗ tính thuế chưa ghi nhận,Tài sản thuế TNDN hoãn lại về lỗ tính thuế chưa ghi nhận,Tài sản thuế TNDN hoãn lại về lỗ tính thuế chưa ghi nhận,1.566.706.204,-,1566706204.0,
Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,Các khoản điều chỉnh giảm:,(50.684.904.308),(58.531.004.750),-50684904308.0,-58531004750.0
"Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia","Cổ tức, lợi nhuận được chia",(50.684.904.308),(46.700.264.800),-50684904308.0,-46700264800.0
Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,Lỗ năm trước chuyển sang,-,(11.364.491.677),,-11364491677.0
Hoàn nhập dự phòng bảo hành bán hàng theo biên bản thanh tra thuế,Hoàn nhập dự phòng bảo hành bán hàng theo biên bản thanh tra thuế,Hoàn nhập dự phòng bảo hành bán hàng theo biên bản thanh tra thuế,-,(466.183.985),,-466183985.0
Lãi chênh lệch tỷ giá chưa thực hiện của các khoản mục tài sản,Lãi chênh lệch tỷ giá chưa thực hiện của các khoản mục tài sản,Lãi chênh lệch tỷ giá chưa thực hiện của các khoản mục tài sản,-,(64.288),,-64288.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,-,26.424.900.258,,26424900258.0
