row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Mối quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6),numeric__Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6)
Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty con,Bán hàng hóa,12.873.000.639,2.741.444.784,,,12873000639.0,2741444784.0
Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty con,"Bán hàng hóa, cung cấp dịch vụ",12.110.952.061,5.510.477.380,,,12110952061.0,5510477380.0
Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,Công ty Cổ phần Thiết bị Điện,Công ty con,Bán hàng hóa,4.005.602.556,61.383.004.025,,,4005602556.0,61383004025.0
Công ty Cổ phần Dây cấp Điện Việt Nam,Công ty Cổ phần Dây cấp Điện Việt Nam,Công ty Cổ phần Dây cấp Điện Việt Nam,Công ty con,Bán hàng hóa,-,161.640.866.008,,,,161640866008.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,Bán hàng hóa và cung cấp dịch vụ,562.702.770,10.002.965.835,,,562702770.0,10002965835.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,29.552.258.026,241.278.758.032,,,29552258026.0,241278758032.0
Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),Phải thu về cho vay ngắn hạn (Thuyết minh số 7),,,,
Công ty TNHH MTV viên Năng lượng GELEX,Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty TNHH MTV viên Năng lượng GELEX,Công ty TNHH MTV viên Năng lượng GELEX,Công ty con,Cho vay ngắn hạn,325.600.000.000,745.500.000.000,,,325600000000.0,745500000000.0
Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty con,Cho vay ngắn hạn,205.000.000.000,313.675.000.000,,,205000000000.0,313675000000.0
Công ty TNHH Một thành viên Năng lượng Gelex Ninh Thuận,Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty TNHH Một thành viên Năng lượng Gelex Ninh Thuận,Công ty TNHH Một thành viên Năng lượng Gelex Ninh Thuận,Công ty con,Cho vay dài hạn đến hạn thu hồi,36.875.000.000,-,,,36875000000.0,
Công ty TNHH MTV Gelex Land,Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > Công ty TNHH MTV Gelex Land,Công ty TNHH MTV Gelex Land,Công ty con,Cho vay ngắn hạn,-,5.000.000.000,,,,5000000000.0
TỔNG CỘNG,Phải thu về cho vay ngắn hạn (Thuyết minh số 7) > TỔNG CỘNG,TỔNG CỘNG,,,567.475.000.000,1.064.175.000.000,,,567475000000.0,1064175000000.0
Phải thu về cho vay dài hạn (Thuyết minh số 7),Phải thu về cho vay dài hạn (Thuyết minh số 7),Phải thu về cho vay dài hạn (Thuyết minh số 7),Phải thu về cho vay dài hạn (Thuyết minh số 7),Phải thu về cho vay dài hạn (Thuyết minh số 7),Phải thu về cho vay dài hạn (Thuyết minh số 7),Phải thu về cho vay dài hạn (Thuyết minh số 7),,,,
Công ty TNHH Một thành viên Năng lượng Gelex Ninh Thuận,Phải thu về cho vay dài hạn (Thuyết minh số 7) > Công ty TNHH Một thành viên Năng lượng Gelex Ninh Thuận,Công ty TNHH Một thành viên Năng lượng Gelex Ninh Thuận,Công ty con,Cho vay dài hạn,700.625.000.000,-,,,700625000000.0,
Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Phải thu về cho vay dài hạn (Thuyết minh số 7) > Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty con,Cho vay dài hạn,-,348.000.000.000,,,,348000000000.0
TỔNG CỘNG,Phải thu về cho vay dài hạn (Thuyết minh số 7) > TỔNG CỘNG,TỔNG CỘNG,,,700.625.000.000,348.000.000.000,,,700625000000.0,348000000000.0
