row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị (VND),Số cuối năm > Lãi suất(%/năm),Số cuối năm > Ngày đảo hạn,Số đầu năm > Giá trị (VND),Số đầu năm > Lãi suất(%/năm),Số đầu năm > Ngày đảo hạn,numeric__Số cuối năm > Giá trị (VND),numeric__Số cuối năm > Lãi suất(%/năm),numeric__Số cuối năm > Ngày đảo hạn,numeric__Số đầu năm > Giá trị (VND),numeric__Số đầu năm > Lãi suất(%/năm),numeric__Số đầu năm > Ngày đảo hạn
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,,,
Trái phiếu phát hành theo mệnh giá – tháng 12 năm 2019 (*),Dải hạn > Trái phiếu phát hành theo mệnh giá – tháng 12 năm 2019 (*),Trái phiếu phát hành theo mệnh giá – tháng 12 năm 2019 (*),1.150.000.000.000,"6,95%",Đảo hạn vào tháng 12 năm 2029,-,,,1150000000000.0,0.0695,,,,
Trái phiếu phát hành theo mệnh giá – tháng 5 năm 2018 (**),Dải hạn > Trái phiếu phát hành theo mệnh giá – tháng 5 năm 2018 (**),Trái phiếu phát hành theo mệnh giá – tháng 5 năm 2018 (**),400.000.000.000,"6,5% - 9,5%",Đảo hạn vào tháng 5 năm 2020,400.000.000.000,"6,5% – 9,5%",Đảo hạn vào tháng 5 năm 2020,400000000000.0,,,400000000000.0,,
Trái phiếu phát hành theo mệnh giá – tháng 4 năm 2018 (***),Dải hạn > Trái phiếu phát hành theo mệnh giá – tháng 4 năm 2018 (***),Trái phiếu phát hành theo mệnh giá – tháng 4 năm 2018 (***),300.000.000.000,"9,5%",Đảo hạn vào tháng 4 năm 2020,300.000.000.000,"9,5%",Đảo hạn vào tháng 4 năm 2020,300000000000.0,0.095,,300000000000.0,0.095,
Trái phiếu phát hành theo mệnh giá - tháng 12 năm 2016,Dải hạn > Trái phiếu phát hành theo mệnh giá - tháng 12 năm 2016,Trái phiếu phát hành theo mệnh giá - tháng 12 năm 2016,-,,,1.080.000.000.000,"9,3% – 9,7%",Khoản trái phiếu cuối cùng đảo hạn vào tháng 12 năm 2019,,,,1080000000000.0,,
Chi phí phát hành trái phiếu,Dải hạn > Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(31.026.448.197),,,(17.749.891.551),,,-31026448197.0,,,-17749891551.0,,
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,1.818.973.551.803,,,1.762.250.108.449,,,1818973551803.0,,,1762250108449.0,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,,
Trái phiếu dài hạn đến hạn trả,Trong đó: > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,696.093.393.481,,,1.080.000.000.000,,,696093393481.0,,,1080000000000.0,,
Trái phiếu dài hạn,Trong đó: > Trái phiếu dài hạn,Trái phiếu dài hạn,1.122.880.158.322,,,682.250.108.449,,,1122880158322.0,,,682250108449.0,,
