row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,Đơn vị tính: VND,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Đơn vị tính: VND
,,,Vốn cổ phần,Thặng dư vốn cổ phần,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,,,,
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.668.000.000.000,622.337.724.760,318.245.709.498,3.608.583.434.258,2668000000000.0,622337724760.0,318245709498.0,3608583434258.0
- Tăng vốn trong năm,Năm trước > - Tăng vốn trong năm,- Tăng vốn trong năm,720.000.000.000,547.112.000.000,-,1.267.112.000.000,720000000000.0,547112000000.0,,1267112000000.0
- Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu,Năm trước > - Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu,- Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu,677.600.000.000,(622.337.724.760),(55.262.275.240),-,677600000000.0,-622337724760.0,-55262275240.0,
- Lợi nhuận thuần trong năm,Năm trước > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,257.750.976.711,257.750.976.711,,,257750976711.0,257750976711.0
"- Trích quỹ khen thưởng, phúc lợi","Năm trước > - Trích quỹ khen thưởng, phúc lợi","- Trích quỹ khen thưởng, phúc lợi",-,-,(9.600.000.000),(9.600.000.000),,,-9600000000.0,-9600000000.0
- Chi cổ tức,Năm trước > - Chi cổ tức,- Chi cổ tức,-,-,(338.800.000.000),(338.800.000.000),,,-338800000000.0,-338800000000.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,4.065.600.000.000,547.112.000.000,172.334.410.969,4.785.046.410.969,4065600000000.0,547112000000.0,172334410969.0,4785046410969.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,4.065.600.000.000,547.112.000.000,172.334.410.969,4.785.046.410.969,4065600000000.0,547112000000.0,172334410969.0,4785046410969.0
- Tăng vốn trong năm (*),Năm nay > - Tăng vốn trong năm (*),- Tăng vốn trong năm (*),180.000.000.000,66.457.000.000,-,246.457.000.000,180000000000.0,66457000000.0,,246457000000.0
- Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (**),Năm nay > - Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (**),- Phát hành cổ phiếu đề tăng vốn cổ phần từ nguồn vốn chủ sở hữu (**),636.840.000.000,(547.112.000.000),(89.728.000.000),-,636840000000.0,-547112000000.0,-89728000000.0,
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,89.286.509.147,89.286.509.147,,,89286509147.0,89286509147.0
"- Trích quỹ khen thưởng, phúc lợi (***)","Năm nay > - Trích quỹ khen thưởng, phúc lợi (***)","- Trích quỹ khen thưởng, phúc lợi (***)",-,-,(1.700.000.000),(1.700.000.000),,,-1700000000.0,-1700000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,4.882.440.000.000,66.457.000.000,170.192.920.116,5.119.089.920.116,4882440000000.0,66457000000.0,170192920116.0,5119089920116.0
