row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,7.715.464.373,3.963.102.098,7715464373.0,3963102098.0
Chi phí bảo hành,Chi phí bán hàng > Chi phí bảo hành,Chi phí bảo hành,(4.352.998.000),(13.780.554.176),-4352998000.0,-13780554176.0
Chi phí bán hàng khác,Chi phí bán hàng > Chi phí bán hàng khác,Chi phí bán hàng khác,-,6.000.000,,6000000.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,3.362.466.373,(9.811.452.078),3362466373.0,-9811452078.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân công,Chi phí quản lý doanh nghiệp > Chi phí nhân công,Chi phí nhân công,28.749.695.694,14.071.789.122,28749695694.0,14071789122.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,2.706.256.253,3.296.888.954,2706256253.0,3296888954.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,19.820.874.852,6.691.508.073,19820874852.0,6691508073.0
Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp > Chi phí quản lý doanh nghiệp khác,Chi phí quản lý doanh nghiệp khác,23.376.567.386,25.923.811.266,23376567386.0,25923811266.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,74.653.394.185,49.983.997.415,74653394185.0,49983997415.0
