row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị ghi sổ,Số cuối năm > Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị ghi sổ,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị ghi sổ,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị ghi sổ,numeric__Số đầu năm > Dự phòng
Trái phiếu (i),Trái phiếu (i),Trái phiếu (i),250.000.000.000,250.000.000.000,-,250.000.000.000,250.000.000.000,-,250000000000.0,250000000000.0,,250000000000.0,250000000000.0,
Cổ phiếu,Cổ phiếu,Cổ phiếu,-,-,-,-,-,-,,,,,,
Ủy thác đầu tư,Cổ phiếu > Ủy thác đầu tư,Ủy thác đầu tư,-,-,-,92.726.936,92.726.936,-,,,,92726936.0,92726936.0,
TỔNG CỘNG,Cổ phiếu > TỔNG CỘNG,TỔNG CỘNG,250.000.000.000,250.000.000.000,-,250.092.726.936,250.092.726.936,-,250000000000.0,250000000000.0,,250092726936.0,250092726936.0,
