row_label_raw,row_label_full,col_0,Số cuối năm > Tỷ lệ sở hữu,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Tỷ lệ sở hữu,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Đơn vị tính: VND > Giá trị hợp lý,numeric__Số cuối năm > Tỷ lệ sở hữu,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Tỷ lệ sở hữu,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Đơn vị tính: VND > Giá trị hợp lý
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,,5.782.454.646.591,-,,,5.781.396.050.689,(5.704.153.487),,,5782454646591.0,,,,5781396050689.0,-5704153487.0,
Công ty TNHH Một thành viên Năng lượng GELEX,Công ty TNHH Một thành viên Năng lượng GELEX,Công ty TNHH Một thành viên Năng lượng GELEX,100%,2.300.000.000.000,-,(*),100%,2.300.000.000.000,-,(*),1.0,2300000000000.0,,,1.0,2300000000000.0,,
Công ty Cổ phần Thiết bị Điện GELEX,Công ty Cổ phần Thiết bị Điện GELEX,Công ty Cổ phần Thiết bị Điện GELEX,100%,2.222.264.638.660,-,(*),100%,2.222.264.638.660,-,(*),1.0,2222264638660.0,,,1.0,2222264638660.0,,
Công ty TNHH MTV GELEX Logistics,Công ty TNHH MTV GELEX Logistics,Công ty TNHH MTV GELEX Logistics,100%,1.210.190.007.931,-,(*),100%,1.208.600.262.029,-,(*),1.0,1210190007931.0,,,1.0,1208600262029.0,,
Công ty TNHH Một thành viên GELEX Land,Công ty TNHH Một thành viên GELEX Land,Công ty TNHH Một thành viên GELEX Land,100%,50.000.000.000,-,(*),100%,50.000.000.000,(5.704.153.487),(*),1.0,50000000000.0,,,1.0,50000000000.0,-5704153487.0,
Công ty TNHH GELEX Campuchia,Công ty TNHH GELEX Campuchia,Công ty TNHH GELEX Campuchia,-,-,-,-,100%,531.150.000,-,(*),,,,,1.0,531150000.0,,
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,834.289.031.341,-,,,69.285.387.977,-,,,834289031341.0,,,,69285387977.0,,
Công ty Dây Đồng Việt Nam – CFT,Công ty Dây Đồng Việt Nam – CFT,Công ty Dây Đồng Việt Nam – CFT,"36,35%",69.285.387.977,-,(*),"36,35%",69.285.387.977,-,(*),0.3635,69285387977.0,,,0.3635,69285387977.0,,
Công ty Cổ phần Cằng Đồng Nai (**),Công ty Cổ phần Cằng Đồng Nai (**),Công ty Cổ phần Cằng Đồng Nai (**),"20,25%",241.621.250.000,-,175.000.000.000,-,-,-,-,0.2025,241621250000.0,,175000000000.0,,,,
Tổng Công ty Viglacera – CTCP (**) (***),Tổng Công ty Viglacera – CTCP (**) (***),Tổng Công ty Viglacera – CTCP (**) (***),"5,54%",523.382.393.364,-,456.827.840.000,-,-,-,-,0.0554,523382393364.0,,456827840000.0,,,,
Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,,-,-,-,,2.239.945.938,-,2.239.945.938,,,,,,2239945938.0,,2239945938.0
Công ty Cổ phần K.I.P Việt Nam,Công ty Cổ phần K.I.P Việt Nam,Công ty Cổ phần K.I.P Việt Nam,-,-,-,-,"1,27%",2.239.945.938,-,2.239.945.938,,,,,0.0127,2239945938.0,,2239945938.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,6.616.743.677.932,-,,,5.852.921.384.604,(5.704.153.487),,,6616743677932.0,,,,5852921384604.0,-5704153487.0,
