row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty con,"Cho vayThu hồi gốc cho vayThu hồi gốc cho vayDoanh thu cung cấp hàng hóa, dịch vụLãi cho vayLãi đặt cọc mua vật tư phải trả",1.324.800.000.0001.781.475.000.0001.781.475.000.000450.623.631.059,836.675.000.000175.000.000.000175.000.000.00037.255.430.888,,,1.3248000000001782e+50,8.36675000000175e+46
Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty Cổ phần Thiết bị điện Gelex [trước đây là Công ty TNHH Thiết bị điện Gelex],Công ty con,"Cho vayThu hồi gốc cho vayThu hồi gốc cho vayDoanh thu cung cấp hàng hóa, dịch vụLãi cho vayLãi đặt cọc mua vật tư phải trả",31.400.465.75411.241.529.510,27.678.041.095-,,,3.1400465754112414e+21,
Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty con,"Doanh thu cung cấp hàng hóa, dịch vụ",49.737.025.784,14.668.621.543,,,49737025784.0,14668621543.0
Công ty TNHH Một thành viên Sotrans Logistics,Công ty TNHH Một thành viên Sotrans Logistics,Công ty TNHH Một thành viên Sotrans Logistics,Công ty con,Mua hàng hóa và dịch vụ,3.122.675.154,-,,,3122675154.0,
Công ty TNHH Một thành viên Gelex Logistics,Công ty TNHH Một thành viên Gelex Logistics,Công ty TNHH Một thành viên Gelex Logistics,Công ty con,Góp vốn,1.589.745.902,1.208.600.262.029,,,1589745902.0,1208600262029.0
Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty Cổ phần Thiết bị Đo điện EMIC [trước đây là Công ty TNHH Thiết bị Đo điện EMIC],Công ty con,"Doanh thu cung cấp hàng hóa, dịch vụ",37.140.759.134,5.548.607.892,,,37140759134.0,5548607892.0
Công ty TNHH Một thành viên Gelex Land,Công ty TNHH Một thành viên Gelex Land,Công ty TNHH Một thành viên Gelex Land,Công ty con,Đi vayCho vayThu hồi gốc cho vayDoanh thu bán hàng và cung cấp dịch vụMua hàng hóa và dịch vụ,37.000.000.000-5.000.000.0001.182.830.4728.034.399.000,-45.000.000.00040.000.000.000-900.000.000,,,,
Công ty TNHH Một thành viên Năng lượng Gelex Ninh Thuận,Công ty TNHH Một thành viên Gelex Land > Công ty TNHH Một thành viên Năng lượng Gelex Ninh Thuận,Công ty TNHH Một thành viên Năng lượng Gelex Ninh Thuận,Công ty con,Cho vay,737.500.000.000,-,,,737500000000.0,
Công ty Cổ phần Viglacera - CTCP,Công ty TNHH Một thành viên Gelex Land > Công ty Cổ phần Viglacera - CTCP,Công ty Cổ phần Viglacera - CTCP,Công ty liên kết của Tập đoàn,Cổ tức nhận được cho giai đoạn trước đầu tư,54.827.600.000,-,,,54827600000.0,
Công ty Cổ phần Cắng Đồng Nai,Công ty TNHH Một thành viên Gelex Land > Công ty Cổ phần Cắng Đồng Nai,Công ty Cổ phần Cắng Đồng Nai,Công ty liên kết,Cổ tức nhận được cho giai đoạn trước đầu tư,6.250.000.000,-,,,6250000000.0,
Các bên liên quan khác,Công ty TNHH Một thành viên Gelex Land > Các bên liên quan khác,Các bên liên quan khác,,"Doanh thu bán hàng hóa, cung cấp dịch vụ",5.840.340.105,22.485.967.514,,,5840340105.0,22485967514.0
