row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn","Thiết bị, dụng cụquản lý",Đơn vị tính:VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn","numeric__Thiết bị, dụng cụquản lý",numeric__Đơn vị tính:VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,126.204.606.588,29.988.868.828,7.154.700.909,10.678.218.320,174.026.394.645,126204606588.0,29988868828.0,7154700909.0,10678218320.0,174026394645.0
- Tăng trong năm,Nguyên giá: > - Tăng trong năm,- Tăng trong năm,-,421.531.831,-,450.289.815,871.821.646,,421531831.0,,450289815.0,871821646.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(3.734.250.000),-,(3.734.250.000),,,-3734250000.0,,-3734250000.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,126.204.606.588,30.410.400.659,3.420.450.909,11.128.508.135,171.163.966.291,126204606588.0,30410400659.0,3420450909.0,11128508135.0,171163966291.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,38.259.479.779,21.397.719.647,-,523.292.259,60.209.399.108,38259479779.0,21397719647.0,,523292259.0,60209399108.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,72.200.886.442,24.608.504.650,4.650.423.948,3.470.053.538,104.929.868.578,72200886442.0,24608504650.0,4650423948.0,3470053538.0,104929868578.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,3.105.611.532,694.802.045,570.075.156,1.441.848.250,5.812.336.983,3105611532.0,694802045.0,570075156.0,1441848250.0,5812336983.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,-,(3.734.250.000),-,(3.734.250.000),,,-3734250000.0,,-3734250000.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,75.306.497.974,25.303.306.695,1.486.249.104,4.911.901.788,107.007.955.561,75306497974.0,25303306695.0,1486249104.0,4911901788.0,107007955561.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,54.003.720.146,5.380.364.178,2.504.276.961,7.208.164.782,69.096.526.067,54003720146.0,5380364178.0,2504276961.0,7208164782.0,69096526067.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,50.898.108.614,5.107.093.964,1.934.201.805,6.216.606.347,64.156.010.730,50898108614.0,5107093964.0,1934201805.0,6216606347.0,64156010730.0
