row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Số dư thư tín dụng (LC) phải trả ngân hàng (i),Ngắn hạn > Số dư thư tín dụng (LC) phải trả ngân hàng (i),Số dư thư tín dụng (LC) phải trả ngân hàng (i),852.314.359.852,-,852314359852.0,
Nhận đặt cọc thực hiện dự án tại số 10 Trần Nguyên Hấn - Hà Nội,Ngắn hạn > Nhận đặt cọc thực hiện dự án tại số 10 Trần Nguyên Hấn - Hà Nội,Nhận đặt cọc thực hiện dự án tại số 10 Trần Nguyên Hấn - Hà Nội,20.000.000.000,20.000.000.000,20000000000.0,20000000000.0
Chứng quyền đặt mua,Ngắn hạn > Chứng quyền đặt mua,Chứng quyền đặt mua,-,18.000.000.000,,18000000000.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",1.016.174.714,986.502.350,1016174714.0,986502350.0
Phải trả khác cho các bên liên quan(Thuyết minh số 30),Ngắn hạn > Phải trả khác cho các bên liên quan(Thuyết minh số 30),Phải trả khác cho các bên liên quan(Thuyết minh số 30),54.906.715.336,567.488.481,54906715336.0,567488481.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,928.237.249.902,39.553.990.831,928237249902.0,39553990831.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
"Nhận ký quỹ, ký cược các bên liên quan(Thuyết minh số 30) (ii)","Dài hạn > Nhận ký quỹ, ký cược các bên liên quan(Thuyết minh số 30) (ii)","Nhận ký quỹ, ký cược các bên liên quan(Thuyết minh số 30) (ii)",500.000.000.000,-,500000000000.0,
"Nhận ký quỹ, ký cược các bên khác","Dài hạn > Nhận ký quỹ, ký cược các bên khác","Nhận ký quỹ, ký cược các bên khác",18.792.794.209,16.378.111.022,18792794209.0,16378111022.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,518.792.794.209,16.378.111.022,518792794209.0,16378111022.0
