row_label_raw,row_label_full,col_0,31/12/2020 > Giá trị,31/12/2020 > Số có khả năng trả nợ,01/01/2020 > Giá trị,01/01/2020 > Số có khả năng trả nợ,numeric__31/12/2020 > Giá trị,numeric__31/12/2020 > Số có khả năng trả nợ,numeric__01/01/2020 > Giá trị,numeric__01/01/2020 > Số có khả năng trả nợ
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,196.804.409.518,196.804.409.518,266.637.599.105,266.637.599.105,196804409518.0,196804409518.0,266637599105.0,266637599105.0
Công ty Cổ phần Xây dựng NASACO,Công ty Cổ phần Xây dựng NASACO,Công ty Cổ phần Xây dựng NASACO,10.053.744.101,10.053.744.101,10.623.356.771,10.623.356.771,10053744101.0,10053744101.0,10623356771.0,10623356771.0
Công ty Cổ phần Sông Hồng,Công ty Cổ phần Sông Hồng,Công ty Cổ phần Sông Hồng,3.436.616.001,3.436.616.001,17.465.589.000,17.465.589.000,3436616001.0,3436616001.0,17465589000.0,17465589000.0
Công ty Cổ phần xây dựng giao thông Yên Bái,Công ty Cổ phần xây dựng giao thông Yên Bái,Công ty Cổ phần xây dựng giao thông Yên Bái,23.644.942.000,23.644.942.000,24.625.755.821,24.625.755.821,23644942000.0,23644942000.0,24625755821.0,24625755821.0
Công ty Cổ phần Đầu tư & xây dựng HUD3,Công ty Cổ phần Đầu tư & xây dựng HUD3,Công ty Cổ phần Đầu tư & xây dựng HUD3,5.770.030.799,5.770.030.799,5.850.006.218,5.850.006.218,5770030799.0,5770030799.0,5850006218.0,5850006218.0
Công ty Cổ phần Đầu tư xây dựng Constrexim,Công ty Cổ phần Đầu tư xây dựng Constrexim,Công ty Cổ phần Đầu tư xây dựng Constrexim,5.806.241.638,5.806.241.638,6.255.364.110,6.255.364.110,5806241638.0,5806241638.0,6255364110.0,6255364110.0
Công ty Cổ phần Dịch vụ kỹ thuật,Công ty Cổ phần Dịch vụ kỹ thuật,Công ty Cổ phần Dịch vụ kỹ thuật,-,-,3.055.942.821,3.055.942.821,,,3055942821.0,3055942821.0
Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,Tổng Công ty Thăng Long - CTCP,75.754.905.469,75.754.905.469,98.259.078.127,98.259.078.127,75754905469.0,75754905469.0,98259078127.0,98259078127.0
Đối tượng khác,Đối tượng khác,Đối tượng khác,72.337.929.510,72.337.929.510,100.502.506.237,100.502.506.237,72337929510.0,72337929510.0,100502506237.0,100502506237.0
Tổng,Tổng,Tổng,196.804.409.518,196.804.409.518,266.637.599.105,266.637.599.105,196804409518.0,196804409518.0,266637599105.0,266637599105.0
Trong đó Phải trả người bán là các bên liên quan (Chi tiết tại thuyết minh 6.3),Trong đó Phải trả người bán là các bên liên quan (Chi tiết tại thuyết minh 6.3),Trong đó Phải trả người bán là các bên liên quan (Chi tiết tại thuyết minh 6.3),77.615.851.362,77.615.851.362,100.275.642.623,100.275.642.623,77615851362.0,77615851362.0,100275642623.0,100275642623.0
