row_label_raw,row_label_full,TÀI SẢN,MS,TM,31/12/2020VND,01/01/2020VND,numeric__MS,numeric__TM,numeric__31/12/2020VND,numeric__01/01/2020VND
A. TÀI SẢN NGĂN HẠN(100=110+120+130+140+150),A. TÀI SẢN NGĂN HẠN(100=110+120+130+140+150),A. TÀI SẢN NGĂN HẠN(100=110+120+130+140+150),100,,1.584.995.879.740,2.169.133.641.441,100.0,,1584995879740.0,2169133641441.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5.1,54.548.922.527,59.544.521.446,110.0,51.0,54548922527.0,59544521446.0
1. Tiền,1. Tiền,1. Tiền,111,,41.548.922.527,44.744.521.446,111.0,,41548922527.0,44744521446.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,13.000.000.000,14.800.000.000,112.0,,13000000000.0,14800000000.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,5.5,39.595.000.000,61.403.931.812,120.0,55.0,39595000000.0,61403931812.0
1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,1. Đầu tư nằm giữ đến ngày đáo hạn,123,,39.595.000.000,61.403.931.812,123.0,,39595000000.0,61403931812.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,1.438.280.852.296,2.047.186.278.417,130.0,,1438280852296.0,2047186278417.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,5.2,602.156.392.372,1.387.438.331.021,131.0,52.0,602156392372.0,1387438331021.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,5.3,24.985.638.520,72.297.930.295,132.0,53.0,24985638520.0,72297930295.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,5.4,404.702.000.000,327.381.147.712,135.0,54.0,404702000000.0,327381147712.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,5.6,415.851.238.954,291.972.568.899,136.0,56.0,415851238954.0,291972568899.0
5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,5. Dự phòng phải thu ngắn hạn khó đòi,137,5.7,(9.414.417.550),(31.903.699.510),137.0,57.0,-9414417550.0,-31903699510.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,5.9,52.447.240.118,729.671.640,140.0,59.0,52447240118.0,729671640.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,52.447.240.118,729.671.640,141.0,,52447240118.0,729671640.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,123.864.799,269.238.126,150.0,,123864799.0,269238126.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,5.12,115.138.699,71.424.187,151.0,512.0,115138699.0,71424187.0
2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,2. Thuế GTGT được khấu trừ,152,,-,100.880.139,152.0,,,100880139.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,5.14,8.726.100,96.933.800,153.0,514.0,8726100.0,96933800.0
B TÀI SẢN DÀI HẠN(200=210+220+230+250+260),B TÀI SẢN DÀI HẠN(200=210+220+230+250+260),B TÀI SẢN DÀI HẠN(200=210+220+230+250+260),200,,3.338.338.948.590,3.390.900.867.667,200.0,,3338338948590.0,3390900867667.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,402.352.143.091,342.730.313.798,210.0,,402352143091.0,342730313798.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,5.6,402.352.143.091,342.730.313.798,216.0,56.0,402352143091.0,342730313798.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,11.097.245.078,11.722.195.283,220.0,,11097245078.0,11722195283.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,5.8,11.097.245.078,11.251.113.141,221.0,58.0,11097245078.0,11251113141.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,32.853.468.028,37.888.792.149,222.0,,32853468028.0,37888792149.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(21.756.222.950),(26.637.679.008),223.0,,-21756222950.0,-26637679008.0
2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,2. Tài sản cố định vô hình,227,5.10,-,471.082.142,227.0,510.0,,471082142.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,228,,2.925.326.637,3.028.204.888,228.0,,2925326637.0,3028204888.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,229,,(2.925.326.637),(2.557.122.746),229.0,,-2925326637.0,-2557122746.0
III. Bất động sản đầu tư,III. Bất động sản đầu tư,III. Bất động sản đầu tư,230,,-,-,230.0,,,
IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,IV. Tài sản dở dang dài hạn,240,5.11,1.041.950.384.450,1.003.303.080.617,240.0,511.0,1041950384450.0,1003303080617.0
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn","1. Chi phí sản xuất, kinh doanh dở dang dài hạn",241,,614.726.749.147,624.841.194.734,241.0,,614726749147.0,624841194734.0
2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,2. Chi phí xây dựng cơ bản dở dang,242,,427.223.635.303,378.461.885.883,242.0,,427223635303.0,378461885883.0
V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,V. Đầu tư tài chính dài hạn,250,5.5,1.881.108.821.160,2.031.366.687.462,250.0,55.0,1881108821160.0,2031366687462.0
1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,1. Đầu tư vào công ty con,251,,1.562.591.316.160,1.551.361.316.160,251.0,,1562591316160.0,1551361316160.0
"2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết","2. Đầu tư vào công ty liên doanh, liên kết",252,,333.525.205.000,455.079.205.000,252.0,,333525205000.0,455079205000.0
3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,3. Đầu tư góp vốn vào đơn vị khác,253,,22.800.000.000,24.130.000.000,253.0,,22800000000.0,24130000000.0
4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,4. Dự phòng đầu tư tài chính dài hạn,254,,(42.807.700.000),(4.203.833.698),254.0,,-42807700000.0,-4203833698.0
5. Đầu tư nằm giữ đến ngày đáo hạn,5. Đầu tư nằm giữ đến ngày đáo hạn,5. Đầu tư nằm giữ đến ngày đáo hạn,255,,5.000.000.000,5.000.000.000,255.0,,5000000000.0,5000000000.0
VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,VI. Tài sản dài hạn khác,260,,1.830.354.811,1.778.590.507,260.0,,1830354811.0,1778590507.0
1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,1. Chi phí trả trước dài hạn,261,5.12,1.830.354.811,1.778.590.507,261.0,512.0,1830354811.0,1778590507.0
TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),TỔNG CỘNG TÀI SẢN (270=100+200),270,,4.923.334.828.330,5.560.034.509.108,270.0,,4923334828330.0,5560034509108.0
