row_label_raw,row_label_full,Khoản mục > Tại ngày 01/01/2019 > Tăng trong năm > Lãi trong năm,Vốn góp của chủ sở hữu > 2.686.319.650.000 > -,Thặng dư vốn cổ phần > 84.988.051.186 > -,Quỹ đầu tư phát triển > 113.392.273.161 > 3.861.000.000 > -,Lợi nhuận sau thuế chưa phân phối > 352.699.648.867 > 86.841.896.594 > 85.176.452.533,Tổng > 3.237.399.623.214 > 90.702.896.594 > 85.176.452.533,numeric__Vốn góp của chủ sở hữu > 2.686.319.650.000 > -,numeric__Thặng dư vốn cổ phần > 84.988.051.186 > -,numeric__Quỹ đầu tư phát triển > 113.392.273.161 > 3.861.000.000 > -,numeric__Lợi nhuận sau thuế chưa phân phối > 352.699.648.867 > 86.841.896.594 > 85.176.452.533,numeric__Tổng > 3.237.399.623.214 > 90.702.896.594 > 85.176.452.533
Tăng khác,Tăng khác,Tăng khác,-,-,3.861.000.000,1.665.444.061,5.526.444.061,,,3861000000.0,1665444061.0,5526444061.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,(66.885.197),-,(4.633.000.000),(4.699.885.197),,-66885197.0,,-4633000000.0,-4699885197.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,(4.633.000.000),(4.633.000.000),,,,-4633000000.0,-4633000000.0
Giảm khác,Giảm khác,Giảm khác,-,(66.885.197),-,-,(66.885.197),,-66885197.0,,,-66885197.0
Tại ngày 31/12/2019,Tại ngày 31/12/2019,Tại ngày 31/12/2019,2.686.319.650.000,84.921.165.989,117.253.273.161,434.908.545.461,3.323.402.634.611,2686319650000.0,84921165989.0,117253273161.0,434908545461.0,3323402634611.0
Tại ngày 01/01/2020,Tại ngày 01/01/2020,Tại ngày 01/01/2020,2.686.319.650.000,84.921.165.989,117.253.273.161,434.908.545.461,3.323.402.634.611,2686319650000.0,84921165989.0,117253273161.0,434908545461.0,3323402634611.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,-,-,2.679.000.000,43.535.287.467,46.214.287.467,,,2679000000.0,43535287467.0,46214287467.0
Lãi trong năm nay,Lãi trong năm nay,Lãi trong năm nay,-,-,-,41.929.360.272,41.929.360.272,,,,41929360272.0,41929360272.0
Tăng khác (*),Tăng khác (*),Tăng khác (*),-,-,2.679.000.000,1.605.927.195,4.284.927.195,,,2679000000.0,1605927195.0,4284927195.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,(96.942.397),-,(3.215.000.000),(3.311.942.397),,-96942397.0,,-3215000000.0,-3311942397.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,(3.215.000.000),(3.215.000.000),,,,-3215000000.0,-3215000000.0
Giảm khác (**),Giảm khác (**),Giảm khác (**),-,(96.942.397),-,-,(96.942.397),,-96942397.0,,,-96942397.0
Tại ngày 31/12/2020,Tại ngày 31/12/2020,Tại ngày 31/12/2020,2.686.319.650.000,84.824.223.592,119.932.273.161,475.228.832.928,3.366.304.979.681,2686319650000.0,84824223592.0,119932273161.0,475228832928.0,3366304979681.0
