row_label_raw,row_label_full,col_0,Giá trị ghi số > 31/12/2020VND,Giá trị ghi số > 01/01/2020VND,numeric__Giá trị ghi số > 31/12/2020VND,numeric__Giá trị ghi số > 01/01/2020VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,54.548.922.527,59.544.521.446,54548922527.0,59544521446.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,1.410.945.356.867,1.990.237.514.208,1410945356867.0,1990237514208.0
Các khoản cho vay,Tài sản tài chính > Các khoản cho vay,Các khoản cho vay,404.702.000.000,327.381.147.712,404702000000.0,327381147712.0
Đầu tư ngắn hạn,Tài sản tài chính > Đầu tư ngắn hạn,Đầu tư ngắn hạn,39.595.000.000,61.403.931.812,39595000000.0,61403931812.0
Đầu tư dài hạn,Tài sản tài chính > Đầu tư dài hạn,Đầu tư dài hạn,27.800.000.000,29.130.000.000,27800000000.0,29130000000.0
Tổng,Tài sản tài chính > Tổng,Tổng,1.937.591.279.394,2.467.697.115.178,1937591279394.0,2467697115178.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,470.698.144.771,537.629.960.818,470698144771.0,537629960818.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,911.711.974.770,1.547.836.927.751,911711974770.0,1547836927751.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,55.927.453.139,73.128.736.226,55927453139.0,73128736226.0
Tổng,Công nợ tài chính > Tổng,Tổng,1.438.337.572.680,2.158.595.624.795,1438337572680.0,2158595624795.0
