row_label_raw,row_label_full,col_0,Năm 2020(Số năm),numeric__Năm 2020(Số năm)
Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,Nhà cửa và vật kiến trúc,05 - 25,
Máy móc và thiết bị,Máy móc và thiết bị,Máy móc và thiết bị,05 - 08,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,03 - 10,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,06 - 10,
