row_label_raw,row_label_full,Chi tiết năm 2019,Lương và phụ cấp,Thù lao (đã chi theo Nghị quyết HĐQT),Tổng,numeric__Lương và phụ cấp,numeric__Thù lao (đã chi theo Nghị quyết HĐQT),numeric__Tổng
"HĐQT (Tên, Chức danh)","HĐQT (Tên, Chức danh)","HĐQT (Tên, Chức danh)","HĐQT (Tên, Chức danh)","HĐQT (Tên, Chức danh)","HĐQT (Tên, Chức danh)",,,
Phạm Quang Dũng - Chủ tịch HĐQT,"HĐQT (Tên, Chức danh) > Phạm Quang Dũng - Chủ tịch HĐQT",Phạm Quang Dũng - Chủ tịch HĐQT,91%,9%,100%,0.91,0.09,1.0
Nguyễn Viết Tân - Phó Chủ tịch HĐQT kiểm TGD,"HĐQT (Tên, Chức danh) > Nguyễn Viết Tân - Phó Chủ tịch HĐQT kiểm TGD",Nguyễn Viết Tân - Phó Chủ tịch HĐQT kiểm TGD,93%,7%,100%,0.93,0.07,1.0
Phạm Thị Chi - Thành viên HĐQT,"HĐQT (Tên, Chức danh) > Phạm Thị Chi - Thành viên HĐQT",Phạm Thị Chi - Thành viên HĐQT,92%,8%,100%,0.92,0.08,1.0
Đỗ Thanh Hương - Thành viên HĐQT,"HĐQT (Tên, Chức danh) > Đỗ Thanh Hương - Thành viên HĐQT",Đỗ Thanh Hương - Thành viên HĐQT,92%,8%,100%,0.92,0.08,1.0
Trần Hải Yến - Thành viên HĐQT,"HĐQT (Tên, Chức danh) > Trần Hải Yến - Thành viên HĐQT",Trần Hải Yến - Thành viên HĐQT,91%,9%,100%,0.91,0.09,1.0
Trần Thị Thanh Tân - Thành viên HĐQT,"HĐQT (Tên, Chức danh) > Trần Thị Thanh Tân - Thành viên HĐQT",Trần Thị Thanh Tân - Thành viên HĐQT,0%,100%,100%,0.0,1.0,1.0
"Ban TGD (Tên, Chức danh) và người quản lý khác","Ban TGD (Tên, Chức danh) và người quản lý khác","Ban TGD (Tên, Chức danh) và người quản lý khác","Ban TGD (Tên, Chức danh) và người quản lý khác","Ban TGD (Tên, Chức danh) và người quản lý khác","Ban TGD (Tên, Chức danh) và người quản lý khác",,,
Nguyễn Văn Dương - Tổng Giám đốc,"Ban TGD (Tên, Chức danh) và người quản lý khác > Nguyễn Văn Dương - Tổng Giám đốc",Nguyễn Văn Dương - Tổng Giám đốc,100%,0%,100%,1.0,0.0,1.0
Nguyễn Dĩnh Siêu - Phó TGD,"Ban TGD (Tên, Chức danh) và người quản lý khác > Nguyễn Dĩnh Siêu - Phó TGD",Nguyễn Dĩnh Siêu - Phó TGD,100%,0%,100%,1.0,0.0,1.0
Khuất Trung Thắng - Phó TGD,"Ban TGD (Tên, Chức danh) và người quản lý khác > Khuất Trung Thắng - Phó TGD",Khuất Trung Thắng - Phó TGD,100%,0%,100%,1.0,0.0,1.0
Trần Ngọc Kiên - Trợ lý TGD,"Ban TGD (Tên, Chức danh) và người quản lý khác > Trần Ngọc Kiên - Trợ lý TGD",Trần Ngọc Kiên - Trợ lý TGD,100%,0%,100%,1.0,0.0,1.0
