row_label_raw,row_label_full,Khoản mục,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn","Thiết bị,dụng cụ quản lý",Tổng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn","numeric__Thiết bị,dụng cụ quản lý",numeric__Tổng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,19.957.828.489,1.528.176.091,13.229.681.021,3.173.106.548,37.888.792.149,19957828489.0,1528176091.0,13229681021.0,3173106548.0,37888792149.0
Tăng trong Năm,Nguyên giá > Tăng trong Năm,Tăng trong Năm,-,-,3.347.640.000,-,3.347.640.000,,,3347640000.0,,3347640000.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,3.347.640.000,-,3.347.640.000,,,3347640000.0,,3347640000.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,4.411.673.476,91.000.000,3.574.551.817,305.738.828,8.382.964.121,4411673476.0,91000000.0,3574551817.0,305738828.0,8382964121.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",4.411.673.476,91.000.000,3.574.551.817,305.738.828,8.382.964.121,4411673476.0,91000000.0,3574551817.0,305738828.0,8382964121.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,15.546.155.013,1.437.176.091,13.002.769.204,2.867.367.720,32.853.468.028,15546155013.0,1437176091.0,13002769204.0,2867367720.0,32853468028.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,10.745.965.283,1.528.176.091,11.286.315.736,3.077.221.898,26.637.679.008,10745965283.0,1528176091.0,11286315736.0,3077221898.0,26637679008.0
Tăng trong năm,Giá trị hao mòn lũy kế > Tăng trong năm,Tăng trong năm,547.616.508,-,1.503.073.388,67.566.776,2.118.256.672,547616508.0,,1503073388.0,67566776.0,2118256672.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,547.616.508,-,1.503.073.388,67.566.776,2.118.256.672,547616508.0,,1503073388.0,67566776.0,2118256672.0
Giảm trong năm,Giá trị hao mòn lũy kế > Giảm trong năm,Giảm trong năm,3.414.057.824,91.000.000,3.188.916.078,305.738.828,6.999.712.730,3414057824.0,91000000.0,3188916078.0,305738828.0,6999712730.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",3.414.057.824,91.000.000,3.188.916.078,305.738.828,6.999.712.730,3414057824.0,91000000.0,3188916078.0,305738828.0,6999712730.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,7.879.523.967,1.437.176.091,9.600.473.046,2.839.049.846,21.756.222.950,7879523967.0,1437176091.0,9600473046.0,2839049846.0,21756222950.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,9.211.863.206,-,1.943.365.285,95.884.650,11.251.113.141,9211863206.0,,1943365285.0,95884650.0,11251113141.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,7.666.631.046,-,3.402.296.158,28.317.874,11.097.245.078,7666631046.0,,3402296158.0,28317874.0,11097245078.0
