row_label_raw,row_label_full,col_0,31/12/2020 > Giá trị,31/12/2020 > Dự phòng,01/01/2020 > Giá trị,01/01/2020 > Dự phòng,numeric__31/12/2020 > Giá trị,numeric__31/12/2020 > Dự phòng,numeric__01/01/2020 > Giá trị,numeric__01/01/2020 > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,415.851.238.954,(5.400.421.625),291.972.568.899,-,415851238954.0,-5400421625.0,291972568899.0,
Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,Phải thu về cổ tức và lợi nhuận được chia,215.927.738.420,-,140.009.388.904,-,215927738420.0,,140009388904.0,
Tạm ứng,Tạm ứng,Tạm ứng,15.812.224.224,(3.286.973.157),26.852.223.253,-,15812224224.0,-3286973157.0,26852223253.0,
Phải thu UBND Quận Nam Từ Liêm giá trị hoàn trả suất đầu tư hạ tầng của các lô đất công cộng thuộc dự án Dự án Khu nhà ở sinh thái Xuân Phương,Phải thu UBND Quận Nam Từ Liêm giá trị hoàn trả suất đầu tư hạ tầng của các lô đất công cộng thuộc dự án Dự án Khu nhà ở sinh thái Xuân Phương,Phải thu UBND Quận Nam Từ Liêm giá trị hoàn trả suất đầu tư hạ tầng của các lô đất công cộng thuộc dự án Dự án Khu nhà ở sinh thái Xuân Phương,48.324.177.720,-,48.324.177.720,-,48324177720.0,,48324177720.0,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",40.500.000.000,-,-,-,40500000000.0,,,
Phải thu khác,Phải thu khác,Phải thu khác,95.287.098.590,(2.113.448.468),76.786.779.022,-,95287098590.0,-2113448468.0,76786779022.0,
Các khoản phải thu khác từ công ty con,Các khoản phải thu khác từ công ty con,Các khoản phải thu khác từ công ty con,72.821.286.523,-,40.989.584.199,-,72821286523.0,,40989584199.0,
Phải thu khác,Phải thu khác,Phải thu khác,22.465.812.067,(2.113.448.468),35.797.194.823,-,22465812067.0,-2113448468.0,35797194823.0,
Dải hạn,Dải hạn,Dải hạn,402.352.143.091,-,342.730.313.798,-,402352143091.0,,342730313798.0,
Phải thu dài hạn Chỉ phí đầu tư xây dựng tuyến tránh TP Nam Định đoạn từ QL10 đến TT Mỹ Lộc (BOT),Phải thu dài hạn Chỉ phí đầu tư xây dựng tuyến tránh TP Nam Định đoạn từ QL10 đến TT Mỹ Lộc (BOT),Phải thu dài hạn Chỉ phí đầu tư xây dựng tuyến tránh TP Nam Định đoạn từ QL10 đến TT Mỹ Lộc (BOT),280.064.272.815,-,284.176.659.088,-,280064272815.0,,284176659088.0,
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Sở Giao dịch 3 ký quỹ dài hạn,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Sở Giao dịch 3 ký quỹ dài hạn,Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Sở Giao dịch 3 ký quỹ dài hạn,63.734.215.566,-,-,-,63734215566.0,,,
Phải thu khác,Phải thu khác,Phải thu khác,58.553.654.710,-,58.553.654.710,-,58553654710.0,,58553654710.0,
Phải thu khác là các bên liên quan(Chi tiết tại thuyết minh 6.3),Phải thu khác là các bên liên quan(Chi tiết tại thuyết minh 6.3),Phải thu khác là các bên liên quan(Chi tiết tại thuyết minh 6.3),627.835.818.090,,523.790.725.312,,627835818090.0,,523790725312.0,
