row_label_raw,row_label_full,col_0,Phần mềm kế toán,Tổng,numeric__Phần mềm kế toán,numeric__Tổng
,,,VND,VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Tại ngày 01/01/2022,NGUYÊN GIÁ > Tại ngày 01/01/2022,Tại ngày 01/01/2022,311.098.833,311.098.833,311098833.0,311098833.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,(9.333.333),(9.333.333),-9333333.0,-9333333.0
Tại ngày 31/12/2022,NGUYÊN GIÁ > Tại ngày 31/12/2022,Tại ngày 31/12/2022,301.765.500,301.765.500,301765500.0,301765500.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Tại ngày 01/01/2022,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2022,Tại ngày 01/01/2022,303.043.830,303.043.830,303043830.0,303043830.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,8.055.000,8.055.000,8055000.0,8055000.0
Giảm khác,GIÁ TRỊ HAO MÒN LỦY KẾ > Giảm khác,Giảm khác,(9.333.330),(9.333.330),-9333330.0,-9333330.0
Tại ngày 31/12/2022,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2022,Tại ngày 31/12/2022,301.765.500,301.765.500,301765500.0,301765500.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày 01/01/2022,GIÁ TRỊ CÒN LẠI > Tại ngày 01/01/2022,Tại ngày 01/01/2022,8.055.003,8.055.003,8055003.0,8055003.0
Tại ngày 31/12/2022,Tại ngày 31/12/2022,Tại ngày 31/12/2022,-,-,,
Nguyên giá TSCĐ hết khấu hao còn sử dụng,Tại ngày 31/12/2022 > Nguyên giá TSCĐ hết khấu hao còn sử dụng,Nguyên giá TSCĐ hết khấu hao còn sử dụng,301.765.500,301.765.500,301765500.0,301765500.0
