row_label_raw,row_label_full,STT,Loại hình,Tên rút gọn,Địa chỉ,numeric__Loại hình,numeric__Tên rút gọn,numeric__Địa chỉ
1.,1.,1.,Chi nhánh,Mỹ Toàn 1,"1479 Nguyễn Văn Linh, KP Mỹ Toàn 1 - H3, P. Tân Phong, Quận 7, TP. HCM",,,
2.,2.,2.,Chi nhánh,Nguyễn Hữu Cảnh 2,"280A4 Lương Định Của, P.An Phú, Quận 2, TP. Thủ Đức, TP.HCM",,,
3.,3.,3.,Chi nhánh,Kim Sơn,"B8 Nguyễn Hữu Thọ, P. Tân Phong, Quận 7, TP. HCM",,,
4.,4.,4.,Chi nhánh,Him Lam,"B10-B11 Nguyễn Hữu Thọ, Khu dân cư Kim Sơn, P. Tân Phong, Quận 7, TP. HCM",,,
5.,5.,5.,Văn phòng đại diện,Phú Mỹ Hưng,"970 Nguyễn Văn Linh, Khu Mỹ Toàn 3, P. Tân Phong, Quận 7, TP. HCM",,,
6.,6.,6.,Chi nhánh,Nguyễn Hoàng 2,"Lầu 1-193 Nguyễn Hoàng, Phường An Phú, Quận 2, TP. HCM",,,
7.,7.,7.,Chi nhánh,An Phú 2,"Lầu 2 - 193 Nguyễn Hoàng, P. An Phú, TP. Thủ Đức, TP HCM",,,
8.,8.,8.,Chi nhánh,Thủ Thiêm 2,"Số 1H Trần Não, P. An Phú, Quận 2, TP. Thủ Đức, TP. HCM",,,
9.,9.,9.,Chi nhánh,Sala 2,"Số 3 Đường số 10, Khu đỏ thị Sala, Phường An Lợi Đông, TP. Thủ Đức, TP. HCM",,,
10.,10.,10.,Chi nhánh,Q7,"B9 Nguyễn Hữu Thọ, Khu dân cư Kim Sơn, P. Tân Phong, Quận 7, TP.HCM",,,
11.,11.,11.,Chi nhánh,Tân Phú,"90C Gò Dầu, P. Tân Phú, Q. Tân Phú, TP.HCM",,,
12.,12.,12.,Chi nhánh,Diamond Island,"LK3-21 Saigon Mystery Villas, P. Bình Trưng Tây, TP Thủ Đức, TP.HCM",,,
13.,13.,13.,Chi nhánh,Mê Linh,"1A Công Trường Mê Linh, Phường Bến Nghé, Quận 1, TP.HCM",,,
14.,14.,14.,Chi nhánh,Thủ Đức,"68 Đường Số 27, KP5, P. Hiệp Bình Chánh, TP. Thủ Đức, TP.HCM",,,
15.,15.,15.,Chi nhánh,Định Công,"77 Trần Khát Chân, P. Thanh Lương, Quận Hai Bà Trưng, TP. Hà Nội",,,
16.,16.,16.,Văn phòng đại diện,Miền Bắc,"77 Trần Khát Chân, P. Thanh Lương, Quận Hai Bà Trưng, TP. Hà Nội",,,
17.,17.,17.,Chi nhánh,Tân Hưng,"B12-13 KDC Kim Sơn, Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, TP. HCM",,,
18.,18.,18.,Chi nhánh,Tôn Đức Thắng,"B14 KDC Kim Sơn, Nguyễn Hữu Thọ, Phường Tân Phong, Quận 7, TP. HCM",,,
19.,19.,19.,Chi nhánh,Vinhomes Grand Park,"Shophouse S3.0201S06 Vinhomes Grand Park, Nguyễn Xiển, P. Long Thạnh Mỹ, TP. Thủ Đức, TP. HCM",,,
20.,20.,20.,Chl nhánh,Mỹ Khánh,"1411 Nguyễn Văn Linh, Khu Phó Mỹ Toàn 2, P. Tân Phong, Quận 7, TP.HCM",,,
