row_label_raw,row_label_full,T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT,T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT_1,T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT_2,T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT_3,T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT_4,T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT_5,MÃU SỐ B09 - DN/HN,numeric__T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT_1,numeric__T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT_2,numeric__T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT_3,numeric__T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT_4,numeric__T MINH BÁO CÁO TÀI CHÍNH HỢP NHẤT_5,numeric__MÃU SỐ B09 - DN/HN
vết mình này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo,vết mình này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo,vết mình này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo,vết mình này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo,vết mình này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo,vết mình này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo,vết mình này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo,vết mình này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo,,,,,,,
Số 12.026/2022/HĐTDNH-PN/SHB.11140 ngày10/12/2022,vết mình này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo > Số 12.026/2022/HĐTDNH-PN/SHB.11140 ngày10/12/2022,Số 12.026/2022/HĐTDNH-PN/SHB.11140 ngày10/12/2022,131.000.000.000,- Thời hạn vay 12 tháng kể từ ngày giải ngân- Mục đích 1: Vay mua 28 BĐS dự án Millenia Long Hậu- Mục đích 2: Vay bù đắp đối với các BĐS mà công ty có vốn tự có hơn 30% hợp đồng thuộc 28 BĐS đã mua,- Thời hạn vay 12 tháng kể từ ngày giải ngân- Mục đích 1: Vay mua 28 BĐS dự án Millenia Long Hậu- Mục đích 2: Vay bù đắp đối với các BĐS mà công ty có vốn tự có hơn 30% hợp đồng thuộc 28 BĐS đã mua,- Thời hạn vay 12 tháng kể từ ngày giải ngân- Mục đích 1: Vay mua 28 BĐS dự án Millenia Long Hậu- Mục đích 2: Vay bù đắp đối với các BĐS mà công ty có vốn tự có hơn 30% hợp đồng thuộc 28 BĐS đã mua,- TSĐB là quyền tài sản phát sinh từ các hợp đồng mua bán nhà ở được quy định tại Hợp đồng thế chấp quyền tài sản phát sinh từ Hợp đồng mua bán nhà ở số 12.026/2022/HĐTC-PN/SHB.111400 ngày 10/12/2022,,131000000000.0,,,,,
Số 05.039/2022/HĐTD-NH-PN/SHB.111400 ngày17/5/2022,vết mình này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo > Số 05.039/2022/HĐTD-NH-PN/SHB.111400 ngày17/5/2022,Số 05.039/2022/HĐTD-NH-PN/SHB.111400 ngày17/5/2022,189.814.000.000,- Thời hạn vay 12 tháng kể từ ngày giải ngân- Mục đích 1: Vay để ký quỹ hợp đồng môi giới BĐS dự án Victoria Nghệ An- Mục đích 2: Vay để mua sĩ dự án- Mục đích 3: Vay để đảm bảo doanh thu tối thiểu theo hợp đồng môi giới,- Thời hạn vay 12 tháng kể từ ngày giải ngân- Mục đích 1: Vay để ký quỹ hợp đồng môi giới BĐS dự án Victoria Nghệ An- Mục đích 2: Vay để mua sĩ dự án- Mục đích 3: Vay để đảm bảo doanh thu tối thiểu theo hợp đồng môi giới,- Thời hạn vay 12 tháng kể từ ngày giải ngân- Mục đích 1: Vay để ký quỹ hợp đồng môi giới BĐS dự án Victoria Nghệ An- Mục đích 2: Vay để mua sĩ dự án- Mục đích 3: Vay để đảm bảo doanh thu tối thiểu theo hợp đồng môi giới,- TSĐB mục đích 1 là quyền đời nợ phần tiền ký quỹ thực hiện hợp đồng môi giới dự án Victoria Nghệ An- TSĐB mục đích 2 là quyền tài sản phát sinh giữa Công ty và công ty Cổ phần Tập đoàn T&T- TSĐB mục đích 3 quyền đời nợ từ hợp đồng mua bán đã hình thành hoặc hình thành trong tương lai của Công ty với người mua,,189814000000.0,,,,,
Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,Trái phiếu,,,,,,,
,,,,31/12/2022,31/12/2022,01/01/2022,01/01/2022,,,,,,,
,,,,Giá trị,Kỳ hạn,Giá trị,Kỳ hạn,,,,,,,
,,,,VND,Năm,VND,Năm,,,,,,,
Trái phiếu dài hạn đến hạn trả,Trái phiếu > Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,Trái phiếu dài hạn đến hạn trả,798.380.246.039,,18.200.000.000,,,,798380246039.0,,18200000000.0,,
Mệnh giá Trái phiếu KHL082022,Trái phiếu > Mệnh giá Trái phiếu KHL082022,Mệnh giá Trái phiếu KHL082022,Mệnh giá Trái phiếu KHL082022,-,-,18.200.000.000,3,,,,,18200000000.0,3.0,
Mệnh giá Trái phiếu BOND.K-HL2020.01,Trái phiếu > Mệnh giá Trái phiếu BOND.K-HL2020.01,Mệnh giá Trái phiếu BOND.K-HL2020.01,Mệnh giá Trái phiếu BOND.K-HL2020.01,200.000.000.000,3,-,-,,,200000000000.0,3.0,,,
