row_label_raw,row_label_full,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo_1,THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo_2,Mẫu SỐ B09 - DN/HN > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo,Mẫu SỐ B09 - DN/HN > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo_1,numeric__THUYẾT MINH BẢO CẢO TÀI CHÍNH HỢP NHẤT > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo_2,numeric__Mẫu SỐ B09 - DN/HN > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo,numeric__Mẫu SỐ B09 - DN/HN > Các thuyết minh này là một bộ phận hợp thành và cần được đọc đồng thời với báo cáo tài chính kèm theo_1
11. PHẢI THU KHÁC,11. PHẢI THU KHÁC,11. PHẢI THU KHÁC,11. PHẢI THU KHÁC,11. PHẢI THU KHÁC,11. PHẢI THU KHÁC,11. PHẢI THU KHÁC,,,,
,,,31/12/2022,31/12/2022,01/01/2022,01/01/2022,,,,
,,,Giá trị ghi sổ VND,Dự phòng VND,Giá trị ghi sổ VND,Dự phòng VND,,,,
Ngắn hạn,11. PHẢI THU KHÁC > Ngắn hạn,Ngắn hạn,732.646.525.136,-,341.219.057.472,-,732646525136.0,,341219057472.0,
Tạm ứng,11. PHẢI THU KHÁC > Tạm ứng,Tạm ứng,3.928.431.939,-,6.143.981.888,-,3928431939.0,,6143981888.0,
Ký quỹ ký cược ngắn hạn,11. PHẢI THU KHÁC > Ký quỹ ký cược ngắn hạn,Ký quỹ ký cược ngắn hạn,303.931.843.866,-,73.172.000.000,-,303931843866.0,,73172000000.0,
- Công ty Cổ phần Bất động sản Khải Minh Lænd (1),11. PHẢI THU KHÁC > - Công ty Cổ phần Bất động sản Khải Minh Lænd (1),- Công ty Cổ phần Bất động sản Khải Minh Lænd (1),170.000.000.000,-,70.000.000.000,-,170000000000.0,,70000000000.0,
- Công ty TNHH Đầu tư Phát triển Solution (1),11. PHẢI THU KHÁC > - Công ty TNHH Đầu tư Phát triển Solution (1),- Công ty TNHH Đầu tư Phát triển Solution (1),130.000.000.000,-,-,-,130000000000.0,,,
- Các đối tượng khác,11. PHẢI THU KHÁC > - Các đối tượng khác,- Các đối tượng khác,3.931.843.866,-,3.172.000.000,-,3931843866.0,,3172000000.0,
Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tầu (2),11. PHẢI THU KHÁC > Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tầu (2),Công ty TNHH Tập đoàn Khải Hoàn - Vũng Tầu (2),6.100.000.000,-,14.800.000.000,-,6100000000.0,,14800000000.0,
