row_label_raw,row_label_full,col_0,Giá trị giao dịch,Giá trị giao dịch_1,numeric__Giá trị giao dịch,numeric__Giá trị giao dịch_1
,,,2024VND,2023VND,,
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
Công ty TNHH Chế biến Thủy sản Minh Quí,Công ty TNHH Chế biến Thủy sản Minh Quí,Công ty TNHH Chế biến Thủy sản Minh Quí,Công ty TNHH Chế biến Thủy sản Minh Quí,Công ty TNHH Chế biến Thủy sản Minh Quí,,
Bán thành phẩm,Công ty TNHH Chế biến Thủy sản Minh Quí > Bán thành phẩm,Bán thành phẩm,389.511.540.670,246.443.375.876,389511540670.0,246443375876.0
Cổ tức,Công ty TNHH Chế biến Thủy sản Minh Quí > Cổ tức,Cổ tức,13.650.000.000,12.239.067.665,13650000000.0,12239067665.0
Chi phí thuê nhà xưởng,Công ty TNHH Chế biến Thủy sản Minh Quí > Chi phí thuê nhà xưởng,Chi phí thuê nhà xưởng,7.200.000.000,7.200.000.000,7200000000.0,7200000000.0
Chi phí thuê văn phòng,Công ty TNHH Chế biến Thủy sản Minh Quí > Chi phí thuê văn phòng,Chi phí thuê văn phòng,330.000.000,330.000.000,330000000.0,330000000.0
Công ty TNHH Chế biến Thủy sản Minh Phát,Công ty TNHH Chế biến Thủy sản Minh Phát,Công ty TNHH Chế biến Thủy sản Minh Phát,Công ty TNHH Chế biến Thủy sản Minh Phát,Công ty TNHH Chế biến Thủy sản Minh Phát,,
Bán thành phẩm,Công ty TNHH Chế biến Thủy sản Minh Phát > Bán thành phẩm,Bán thành phẩm,23.924.818.149,-,23924818149.0,
Góp vốn,Công ty TNHH Chế biến Thủy sản Minh Phát > Góp vốn,Góp vốn,311.549.398.531,14.100.000.000,311549398531.0,14100000000.0
Chi phí thuê nhà xưởng,Công ty TNHH Chế biến Thủy sản Minh Phát > Chi phí thuê nhà xưởng,Chi phí thuê nhà xưởng,9.600.000.000,9.600.000.000,9600000000.0,9600000000.0
Cổ tức,Công ty TNHH Chế biến Thủy sản Minh Phát > Cổ tức,Cổ tức,-,9.996.354.940,,9996354940.0
Chi phí thuê văn phòng,Công ty TNHH Chế biến Thủy sản Minh Phát > Chi phí thuê văn phòng,Chi phí thuê văn phòng,220.000.000,80.000.000,220000000.0,80000000.0
Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang,,
Mua thành phẩm,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Mua thành phẩm,Mua thành phẩm,759.334.275.932,705.514.656.152,759334275932.0,705514656152.0
Mua nguyên vật liệu,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Mua nguyên vật liệu,Mua nguyên vật liệu,-,3.923.347.381,,3923347381.0
Cổ tức,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Cổ tức,Cổ tức,270.043.844.040,117.923.076.000,270043844040.0,117923076000.0
Bán thành phẩm,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Bán thành phẩm,Bán thành phẩm,970.501.280.890,750.086.381.233,970501280890.0,750086381233.0
Hàng bán bị trả lại,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Hàng bán bị trả lại,Hàng bán bị trả lại,-,31.428.585.977,,31428585977.0
Bán nguyên vật liệu,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Bán nguyên vật liệu,Bán nguyên vật liệu,-,1.166.006.569,,1166006569.0
Chi phí khác,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Chi phí khác,Chi phí khác,887.100.435,668.831.499,887100435.0,668831499.0
Chuyển nhượng khoản đầu tư,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Chuyển nhượng khoản đầu tư,Chuyển nhượng khoản đầu tư,-,2.000.000.000,,2000000000.0
Bán tài sản cố định,Công ty Cổ phần Thủy sản Minh Phú Hậu Giang > Bán tài sản cố định,Bán tài sản cố định,1.842.500.000,-,1842500000.0,
Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang,,
Mua nguyên vật liệu,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang > Mua nguyên vật liệu,Mua nguyên vật liệu,101.736.831.101,67.008.280.911,101736831101.0,67008280911.0
Góp vốn,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang > Góp vốn,Góp vốn,166.526.186.199,97.673.770.000,166526186199.0,97673770000.0
Cho vay,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang > Cho vay,Cho vay,32.000.000.000,-,32000000000.0,
Thu hồi khoản cho vay,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang > Thu hồi khoản cho vay,Thu hồi khoản cho vay,30.300.000.000,-,30300000000.0,
Thu nhập lãi cho vay,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang > Thu nhập lãi cho vay,Thu nhập lãi cho vay,262.471.232,-,262471232.0,
Bán tài sản cố định,Công ty TNHH Thủy hải sản Minh Phú – Kiên Giang > Bán tài sản cố định,Bán tài sản cố định,-,1.200.000.000,,1200000000.0
