row_label_raw,row_label_full,col_0,Nhà cửa VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Thiết bị văn phòng VND,Tổng VND,numeric__Nhà cửa VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Thiết bị văn phòng VND,numeric__Tổng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,174.476.727.736,324.080.426.345,91.368.561.725,20.069.475.690,609.995.191.496,174476727736.0,324080426345.0,91368561725.0,20069475690.0,609995191496.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.061.460.238,3.235.536.500,1.840.656.042,948.780.000,7.086.432.780,1061460238.0,3235536500.0,1840656042.0,948780000.0,7086432780.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,22.765.046.062,9.304.161.847,4.647.630.000,-,36.716.837.909,22765046062.0,9304161847.0,4647630000.0,,36716837909.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(16.164.207.033),(3.582.520.000),-,(19.746.727.033),,-16164207033.0,-3582520000.0,,-19746727033.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,198.303.234.036,320.455.917.659,94.274.327.767,21.018.255.690,634.051.735.152,198303234036.0,320455917659.0,94274327767.0,21018255690.0,634051735152.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,101.433.253.744,248.959.567.808,51.857.455.416,15.848.763.310,418.099.040.278,101433253744.0,248959567808.0,51857455416.0,15848763310.0,418099040278.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,9.442.256.433,19.881.501.313,6.936.174.482,1.032.266.100,37.292.198.328,9442256433.0,19881501313.0,6936174482.0,1032266100.0,37292198328.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(15.710.015.303),(3.509.520.000),-,(19.219.535.303),,-15710015303.0,-3509520000.0,,-19219535303.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,110.875.510.177,253.131.053.818,55.284.109.898,16.881.029.410,436.171.703.303,110875510177.0,253131053818.0,55284109898.0,16881029410.0,436171703303.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,73.043.473.992,75.120.858.537,39.511.106.309,4.220.712.380,191.896.151.218,73043473992.0,75120858537.0,39511106309.0,4220712380.0,191896151218.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,87.427.723.859,67.324.863.841,38.990.217.869,4.137.226.280,197.880.031.849,87427723859.0,67324863841.0,38990217869.0,4137226280.0,197880031849.0
