row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Quỹ đầu tư và phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Quỹ đầu tư và phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,Số dư tại ngày 1 tháng 1 năm 2023,3.998.873.000.000,292.399.641.421,57.363.079.045,1.281.491.010.112,5.630.126.730.578,3998873000000.0,292399641421.0,57363079045.0,1281491010112.0,5630126730578.0
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,(10.569.377.579),(10.569.377.579),,,,-10569377579.0,-10569377579.0
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,-,(164.353.680.300),(164.353.680.300),,,,-164353680300.0,-164353680300.0
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,(41.581.278.415),-,(41.581.278.415),,,-41581278415.0,,-41581278415.0
Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,3.998.873.000.000,292.399.641.421,15.781.800.630,1.106.567.952.233,5.413.622.394.284,3998873000000.0,292399641421.0,15781800630.0,1106567952233.0,5413622394284.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,10.510.000.000,(130.000.000),-,-,10.380.000.000,10510000000.0,-130000000.0,,,10380000000.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,35.129.067.922,35.129.067.922,,,,35129067922.0,35129067922.0
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),-,-,-,(300.703.725.000),(300.703.725.000),,,,-300703725000.0,-300703725000.0
Trích quỹ đầu tư và phát triển,Trích quỹ đầu tư và phát triển,Trích quỹ đầu tư và phát triển,-,-,77.552.130.941,(77.552.130.941),-,,,77552130941.0,-77552130941.0,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 20)",-,-,-,(19.388.032.735),(19.388.032.735),,,,-19388032735.0,-19388032735.0
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,(31.076.874.082),-,(31.076.874.082),,,-31076874082.0,,-31076874082.0
Tăng khác,Tăng khác,Tăng khác,-,-,335.926.163,-,335.926.163,,,335926163.0,,335926163.0
Các điều chỉnh khác,Các điều chỉnh khác,Các điều chỉnh khác,-,-,-,(13.862.746.627),(13.862.746.627),,,,-13862746627.0,-13862746627.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,4.009.383.000.000,292.269.641.421,62.592.983.652,730.190.384.852,5.094.436.009.925,4009383000000.0,292269641421.0,62592983652.0,730190384852.0,5094436009925.0
