row_label_raw,row_label_full,col_0,Năm 2018 triệu đồng,Năm 2017 triệu đồng,numeric__Năm 2018 triệu đồng,numeric__Năm 2017 triệu đồng
Lợi nhuận thuần trước thuế Điều chỉnh cho các khoản:- Thu nhập từ cổ tức không chịu thuế- Thu nhập thuần của chi nhánh nước ngoài- Chi phí không được khấu trừ khi tính thuế,Lợi nhuận thuần trước thuế Điều chỉnh cho các khoản:- Thu nhập từ cổ tức không chịu thuế- Thu nhập thuần của chi nhánh nước ngoài- Chi phí không được khấu trừ khi tính thuế,Lợi nhuận thuần trước thuế Điều chỉnh cho các khoản:- Thu nhập từ cổ tức không chịu thuế- Thu nhập thuần của chi nhánh nước ngoài- Chi phí không được khấu trừ khi tính thuế,7.029.634(137.911)(58.418)12.206,5.355.018(163.496)46.12051.252,,
Thu nhập chịu thuế ước tính tại Việt Nam trong năm,Lợi nhuận thuần trước thuế Điều chỉnh cho các khoản:- Thu nhập từ cổ tức không chịu thuế- Thu nhập thuần của chi nhánh nước ngoài- Chi phí không được khấu trừ khi tính thuế > Thu nhập chịu thuế ước tính tại Việt Nam trong năm,Thu nhập chịu thuế ước tính tại Việt Nam trong năm,6.845.511,5.288.894,6845511.0,5288894.0
Chi phí thuế TNDN trong năm,Chi phí thuế TNDN trong năm,Chi phí thuế TNDN trong năm,Chi phí thuế TNDN trong năm,Chi phí thuế TNDN trong năm,,
Thuế TNDN của Ngân hàng tại Việt Nam (20%),Chi phí thuế TNDN trong năm > Thuế TNDN của Ngân hàng tại Việt Nam (20%),Thuế TNDN của Ngân hàng tại Việt Nam (20%),1.369.102,1.057.779,1369102.0,1057779.0
Thuế TNDN của các chi nhánh nước ngoài,Chi phí thuế TNDN trong năm > Thuế TNDN của các chi nhánh nước ngoài,Thuế TNDN của các chi nhánh nước ngoài,3.808,2.719,3808.0,2719.0
Tổng chi phí thuế TNDN phát sinh trong năm,Chi phí thuế TNDN trong năm > Tổng chi phí thuế TNDN phát sinh trong năm,Tổng chi phí thuế TNDN phát sinh trong năm,1.372.910,1.060.498,1372910.0,1060498.0
Thuế TNDN phải trả đầu kỳ,Chi phí thuế TNDN trong năm > Thuế TNDN phải trả đầu kỳ,Thuế TNDN phải trả đầu kỳ,200.709,67.323,200709.0,67323.0
Điều chỉnh của KTNN,Chi phí thuế TNDN trong năm > Điều chỉnh của KTNN,Điều chỉnh của KTNN,8.256,-,8256.0,
Thuế TNDN đã trả trong kỳ,Chi phí thuế TNDN trong năm > Thuế TNDN đã trả trong kỳ,Thuế TNDN đã trả trong kỳ,(1.292.723),(927.112),-1292723.0,-927112.0
Thuế TNDN phải trả cuối kỳ,Chi phí thuế TNDN trong năm > Thuế TNDN phải trả cuối kỳ,Thuế TNDN phải trả cuối kỳ,289.152,200.709,289152.0,200709.0
