row_label_raw,row_label_full,Số dư đầu năm > Trích lập trong năm > Sử dụng dự phòng trong năm,Chứng khoánđầu tư sẵn sàngđể bántriệu đồng > 1.111 > -,Chứng khoánđầu tư giữ đếngày đáo hạntriệu đồng > 1.526.262 > 24.159 > (2.570.237),Tổngtriệu đồng > 1.527.373 > 24.159 > (2.570.237),numeric__Chứng khoánđầu tư sẵn sàngđể bántriệu đồng > 1.111 > -,numeric__Chứng khoánđầu tư giữ đếngày đáo hạntriệu đồng > 1.526.262 > 24.159 > (2.570.237),numeric__Tổngtriệu đồng > 1.527.373 > 24.159 > (2.570.237)
Dự phòng trái phiếu đặc biệt,Dự phòng trái phiếu đặc biệt,Dự phòng trái phiếu đặc biệt,-,1.322.182,1.322.182,,1322182.0,1322182.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.111,302.366,303.477,1111.0,302366.0,303477.0
