row_label_raw,row_label_full,Cổ tức đã công bố và đã trả trong năm,Năm 2018triệu đồng > Cổ tức đã công bố và đã trả trong năm,Năm 2017triệu đồng > Cổ tức đã công bố và đã trả trong năm,numeric__Năm 2018triệu đồng > Cổ tức đã công bố và đã trả trong năm,numeric__Năm 2017triệu đồng > Cổ tức đã công bố và đã trả trong năm
Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,Cổ tức trên cổ phiếu phổ thông,,
Cổ tức bằng tiền mặt cho năm 2017: 600 đồng/cổ phiếu (2016: 600 đồng/cổ phiếu),Cổ tức trên cổ phiếu phổ thông > Cổ tức bằng tiền mặt cho năm 2017: 600 đồng/cổ phiếu (2016: 600 đồng/cổ phiếu),Cổ tức bằng tiền mặt cho năm 2017: 600 đồng/cổ phiếu (2016: 600 đồng/cổ phiếu),1.089.303,1.027.645,1089303.0,1027645.0
Cổ tức bằng cổ phiếu cho năm 2017: 5%/cổ phiếu (2016: 5%/cổ phiếu),Cổ tức trên cổ phiếu phổ thông > Cổ tức bằng cổ phiếu cho năm 2017: 5%/cổ phiếu (2016: 5%/cổ phiếu),Cổ tức bằng cổ phiếu cho năm 2017: 5%/cổ phiếu (2016: 5%/cổ phiếu),907.753,856.370,907753.0,856370.0
