row_label_raw,row_label_full,Tiền gửi tại Ngân hàng Nhà nước Việt Nam (i):,31/12/2018triệu đồng > 9.652.851,31/12/2017triệu đồng > 5.465.435,numeric__31/12/2018triệu đồng > 9.652.851,numeric__31/12/2017triệu đồng > 5.465.435
- Bằng VND,- Bằng VND,- Bằng VND,9.214.301,5.465.394,9214301.0,5465394.0
- Bằng ngoại tệ,- Bằng ngoại tệ,- Bằng ngoại tệ,438.550,41,438550.0,41.0
Tiền gửi tại Ngân hàng Nhà nước Lào (ii),Tiền gửi tại Ngân hàng Nhà nước Lào (ii),Tiền gửi tại Ngân hàng Nhà nước Lào (ii),292.892,226.317,292892.0,226317.0
Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),Tiền gửi tại Ngân hàng Quốc gia Campuchia (iii),598.312,990.426,598312.0,990426.0
,,,10.544.055,6.682.178,10544055.0,6682178.0
