row_label_raw,row_label_full,col_0,Năm 2018 triệu đồng,Năm 2017 triệu đồng,numeric__Năm 2018 triệu đồng,numeric__Năm 2017 triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,23.026.534,19.153.525,23026534.0,19153525.0
Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,665.979,516.807,665979.0,516807.0
Thu nhập lãi cho vay,Thu nhập lãi cho vay,Thu nhập lãi cho vay,16.881.245,13.780.260,16881245.0,13780260.0
Thu lãi từ chứng khoán nợ,Thu lãi từ chứng khoán nợ,Thu lãi từ chứng khoán nợ,3.785.864,3.506.447,3785864.0,3506447.0
Thu từ nghiệp vụ bảo lãnh,Thu từ nghiệp vụ bảo lãnh,Thu từ nghiệp vụ bảo lãnh,1.200.018,1.059.411,1200018.0,1059411.0
Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,493.428,290.600,493428.0,290600.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(10.254.229),(8.499.883),-10254229.0,-8499883.0
Trả lãi tiền gửi,Trả lãi tiền gửi,Trả lãi tiền gửi,(8.724.288),(7.457.059),-8724288.0,-7457059.0
Trả lãi tiền vay,Trả lãi tiền vay,Trả lãi tiền vay,(523.735),(540.362),-523735.0,-540362.0
Trả lãi phát hành giấy tờ có giá,Trả lãi phát hành giấy tờ có giá,Trả lãi phát hành giấy tờ có giá,(554.744),(286.942),-554744.0,-286942.0
Chi phí hoạt động tín dụng khác,Chi phí hoạt động tín dụng khác,Chi phí hoạt động tín dụng khác,(451.462),(215.520),-451462.0,-215520.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,12.772.305,10.653.642,12772305.0,10653642.0
