row_label_raw,row_label_full,col_0,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ khác thuộc VCSH triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Tổng cộng triệu đồng,numeric__Vốn điều lệ triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ khác thuộc VCSH triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,17.127.409,828.197,788.862,1.562.922,281.304,4.509.300,25.097.994,17127409.0,828197.0,788862.0,1562922.0,281304.0,4509300.0,25097994.0
Tăng vốn tử phát hành cổ phiếu,Tăng vốn tử phát hành cổ phiếu,Tăng vốn tử phát hành cổ phiếu,171.275,-,-,-,-,-,171.275,171275.0,,,,,,171275.0
Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,Tăng vốn do trả cổ tức bằng cổ phiếu,856.370,-,-,-,-,(856.370),-,856370.0,,,,,-856370.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,4.294.520,4.294.520,,,,,,4294520.0,4294520.0
Trích bổ sung các quỹ cho năm 2016,Trích bổ sung các quỹ cho năm 2016,Trích bổ sung các quỹ cho năm 2016,-,-,148.725,297.451,224.169,(670.345),-,,,148725.0,297451.0,224169.0,-670345.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(166.772),-,(166.772),,,,,-166772.0,,-166772.0
Trả cổ tức năm 2016 bằng tiền mặt,Trả cổ tức năm 2016 bằng tiền mặt,Trả cổ tức năm 2016 bằng tiền mặt,-,-,-,-,-,(1.027.645),(1.027.645),,,,,,-1027645.0,-1027645.0
"Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,-,-,(178.001),(178.001),,,,,,-178001.0,-178001.0
Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,Trích quỹ dự trữ bắt buộc của các chi nhánh nước ngoài,-,-,-,-,1.992,(1.992),-,,,,,1992.0,-1992.0,
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,18.155.054,828.197,937.587,1.860.373,340.693,6.069.467,28.191.371,18155054.0,828197.0,937587.0,1860373.0,340693.0,6069467.0,28191371.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,5.656.724,5.656.724,,,,,,5656724.0,5656724.0
Tăng vốn tử phát hành cổ phiếu và chia cổ tức bằng cổ phiếu,Tăng vốn tử phát hành cổ phiếu và chia cổ tức bằng cổ phiếu,Tăng vốn tử phát hành cổ phiếu và chia cổ tức bằng cổ phiếu,3.449.460,(828.197),-,-,-,(2.621.263),-,3449460.0,-828197.0,,,,-2621263.0,
Trích lập quỹ từ lợi nhuận sau thuế 2017 theo NQ ĐHĐCD,Trích lập quỹ từ lợi nhuận sau thuế 2017 theo NQ ĐHĐCD,Trích lập quỹ từ lợi nhuận sau thuế 2017 theo NQ ĐHĐCD,-,-,214.726,429.452,343.562,(987.740),-,,,214726.0,429452.0,343562.0,-987740.0,
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(309.075),-,(309.075),,,,,-309075.0,,-309075.0
Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,Điều chỉnh theo Kiểm toán Nhà nước,-,-,-,-,-,14.936,14.936,,,,,,14936.0,14936.0
Chi trả cổ tức trong kỳ bằng tiền,Chi trả cổ tức trong kỳ bằng tiền,Chi trả cổ tức trong kỳ bằng tiền,-,-,-,-,-,(1.089.303),(1.089.303),,,,,,-1089303.0,-1089303.0
Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,-,-,-,-,-,(257.671),(257.671),,,,,,-257671.0,-257671.0
Biến động khác (do CLTG),Biến động khác (do CLTG),Biến động khác (do CLTG),-,-,-,-,-,(1.158),(1.158),,,,,,-1158.0,-1158.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,21.604.514,-,1.152.313,2.289.825,375.180,6.783.992,32.205.824,21604514.0,,1152313.0,2289825.0,375180.0,6783992.0,32205824.0
