row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc triệu đồng,Máy móc thiết bị triệu đồng,Phương tiện vận tải triệu đồng,TSCĐ khác triệu đồng,Tổng cộng trí sg tih,numeric__Nhà cửa vật kiến trúc triệu đồng,numeric__Máy móc thiết bị triệu đồng,numeric__Phương tiện vận tải triệu đồng,numeric__TSCĐ khác triệu đồng,numeric__Tổng cộng trí sg tih
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,1.102.228,779.334,519.625,135.947,2.537.134,1102228.0,779334.0,519625.0,135947.0,2537134.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,139.423,122.559,60.162,1.679,323.823,139423.0,122559.0,60162.0,1679.0,323823.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(72),(2.153),(107.630),(1.685),(111.540),-72.0,-2153.0,-107630.0,-1685.0,-111540.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,1.241.579,899.740,472.157,135.941,2.749.417,1241579.0,899740.0,472157.0,135941.0,2749417.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,89.806,652.275,387.574,106.778,1.236.433,89806.0,652275.0,387574.0,106778.0,1236433.0
Chi phí khấu hao trong năm,Giá trị hao mòn lũy kế > Chi phí khấu hao trong năm,Chi phí khấu hao trong năm,49.863,97.479,56.612,19.751,223.705,49863.0,97479.0,56612.0,19751.0,223705.0
Giảm khác trong năm,Giá trị hao mòn lũy kế > Giảm khác trong năm,Giảm khác trong năm,(10),(1.853),(83.646),(1.586),(87.095),-10.0,-1853.0,-83646.0,-1586.0,-87095.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,139.659,747.901,360.540,124.943,1.373.043,139659.0,747901.0,360540.0,124943.0,1373043.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,1.012.422,127.059,132.051,29.169,1.300.701,1012422.0,127059.0,132051.0,29169.0,1300701.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,1.101.920,151.839,111.617,10.998,1.376.374,1101920.0,151839.0,111617.0,10998.0,1376374.0
