row_label_raw,row_label_full,Số dư đầu năm > Trích lập dự phòng trong năm,Năm 2018triệu đồng > 406.474 > -,Năm 2017triệu đồng > 318.408 > 88.066,numeric__Năm 2018triệu đồng > 406.474 > -,numeric__Năm 2017triệu đồng > 318.408 > 88.066
Phân loại lại sang dự phòng đầu tư chứng khoán,Phân loại lại sang dự phòng đầu tư chứng khoán,Phân loại lại sang dự phòng đầu tư chứng khoán,(49.226),-,-49226.0,
Xử lí rủi ro trong năm,Xử lí rủi ro trong năm,Xử lí rủi ro trong năm,(348.562),-,-348562.0,
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,152,-,152.0,
,,,8.838,406.474,8838.0,406474.0
