row_label_raw,row_label_full,col_0,Quả hạn triệu đồng,Không chịu lãi triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,numeric__Quả hạn triệu đồng,numeric__Không chịu lãi triệu đồng,numeric__Đến 1 tháng triệu đồng,numeric__Từ 1 - 3 tháng triệu đồng,numeric__Từ 3 - 6 tháng triệu đồng,numeric__Từ 6 - 12 tháng triệu đồng,numeric__Từ 1 - 5 năm triệu đồng,numeric__Trên 5 năm triệu đồng,numeric__Tổng cộng triệu đồng
Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,Tải sản,,,,,,,,,
"Tiền mặt, vàng bạc, đá quỳ","Tải sản > Tiền mặt, vàng bạc, đá quỳ","Tiền mặt, vàng bạc, đá quỳ",-,1.734.482,-,-,-,-,-,-,1.734.482,,1734482.0,,,,,,,1734482.0
Tiền gửi tại NHNN,Tải sản > Tiền gửi tại NHNN,Tiền gửi tại NHNN,-,-,10.544.055,-,-,-,-,-,10.544.055,,,10544055.0,,,,,,10544055.0
Tiền gửi tại và cho vay các TCTD khác (*),Tải sản > Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),196.000,-,34.727.691,3.822.717,2.490.324,2.656.906,1.020.740,-,44.914.378,196000.0,,34727691.0,3822717.0,2490324.0,2656906.0,1020740.0,,44914378.0
Các công cụ tài chính phải sinh và các tài sản tài chính khác,Tải sản > Các công cụ tài chính phải sinh và các tài sản tài chính khác,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,36.032,-,-,-,-,-,-,36.032,,36032.0,,,,,,,36032.0
Cho vay khách hàng (*),Tải sản > Cho vay khách hàng (*),Cho vay khách hàng (*),5.763.795,-,67.695.071,111.654.910,9.540.110,7.414.123,3.224.890,1.662.736,206.955.635,5763795.0,,67695071.0,111654910.0,9540110.0,7414123.0,3224890.0,1662736.0,206955635.0
Chứng khoán đầu tư (*),Tải sản > Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),80.000,-,30.208.847,2.424.227,150.921,1.995.098,17.608.346,20.627.415,73.094.854,80000.0,,30208847.0,2424227.0,150921.0,1995098.0,17608346.0,20627415.0,73094854.0
"Gộp vốn, đầu tư dài hạn (*)","Tải sản > Gộp vốn, đầu tư dài hạn (*)","Gộp vốn, đầu tư dài hạn (*)",-,4.288.849,-,-,-,-,-,-,4.288.849,,4288849.0,,,,,,,4288849.0
Tải sản cố định,Tải sản > Tải sản cố định,Tải sản cố định,-,4.610.266,-,-,-,-,-,-,4.610.266,,4610266.0,,,,,,,4610266.0
Tải sản Có khác (*),Tải sản > Tải sản Có khác (*),Tải sản Có khác (*),-,12.168.855,-,-,-,-,-,-,12.168.855,,12168855.0,,,,,,,12168855.0
