row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Số đầu năm > Giá trị,Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Dự phòng
,,,VND,VND,VND,VND,,,,
Phải thu ngắn hạn bên liên quan,Phải thu ngắn hạn bên liên quan,Phải thu ngắn hạn bên liên quan,105.433.768.888,-,10.056.800,-,105433768888.0,,10056800.0,
Công ty Cổ phần Nhựa Đồng Nai (i),Công ty Cổ phần Nhựa Đồng Nai (i),Công ty Cổ phần Nhựa Đồng Nai (i),70.000.000.000,-,-,-,70000000000.0,,,
Công ty Cổ phần Địa ốc Sacom (ii),Công ty Cổ phần Địa ốc Sacom (ii),Công ty Cổ phần Địa ốc Sacom (ii),13.790.494.764,-,10.056.800,-,13790494764.0,,10056800.0,
Công ty TNHH Sacom Chíp sáng,Công ty TNHH Sacom Chíp sáng,Công ty TNHH Sacom Chíp sáng,162.192.324,-,-,-,162192324.0,,,
Công ty Cổ phần Dây và Cáp Sacom (iii),Công ty Cổ phần Dây và Cáp Sacom (iii),Công ty Cổ phần Dây và Cáp Sacom (iii),21.481.081.800,,,,21481081800.0,,,
Phải thu đối tượng khác,Phải thu đối tượng khác,Phải thu đối tượng khác,2.769.867.117,-,9.703.629.284,-,2769867117.0,,9703629284.0,
Tạm ứng,Tạm ứng,Tạm ứng,1.645.580.992,-,91.394.676,-,1645580992.0,,91394676.0,
Phải thu khác,Phải thu khác,Phải thu khác,206.486.125,-,-,-,206486125.0,,,
Phải thu nộp tiền mua Cổ phần Công ty Cổ phần Vật liệu Điện và Viễn thông,Phải thu nộp tiền mua Cổ phần Công ty Cổ phần Vật liệu Điện và Viễn thông,Phải thu nộp tiền mua Cổ phần Công ty Cổ phần Vật liệu Điện và Viễn thông,,,,,,,,
Sam Cường,Phải thu nộp tiền mua Cổ phần Công ty Cổ phần Vật liệu Điện và Viễn thông > Sam Cường,Sam Cường,912.800.000,-,-,-,912800000.0,,,
Ký quỹ Công ty Cổ phần,Ký quỹ Công ty Cổ phần,Ký quỹ Công ty Cổ phần,,,,,,,,
Tập đoàn Mai Linh,Ký quỹ Công ty Cổ phần > Tập đoàn Mai Linh,Tập đoàn Mai Linh,5.000.000,-,-,-,5000000.0,,,
Phải thu nộp tiền mua Cổ phần,Phải thu nộp tiền mua Cổ phần,Phải thu nộp tiền mua Cổ phần,,,,,,,,
Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Phải thu nộp tiền mua Cổ phần > Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,-,-,9.600.000.000,-,,,9600000000.0,
Công ty Cổ phần Chứng Khoán Sài Gòn,Phải thu nộp tiền mua Cổ phần > Công ty Cổ phần Chứng Khoán Sài Gòn,Công ty Cổ phần Chứng Khoán Sài Gòn,-,-,12.234.608,-,,,12234608.0,
,,,108.203.636.005,-,9.713.686.084,-,108203636005.0,,9713686084.0,
