row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Số cuối nămVND,Giá trị ghi sổ > Số đầu nămVND,numeric__Giá trị ghi sổ > Số cuối nămVND,numeric__Giá trị ghi sổ > Số đầu nămVND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,50.026.840.528,1.394.769.239,50026840528.0,1394769239.0
Phải thu khách hàng và phải thu khác,Tài sản tài chính > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,190.422.172.628,315.009.454.355,190422172628.0,315009454355.0
Phải thu cho vay ngắn hạn,Tài sản tài chính > Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,11.800.000.000,8.000.000.000,11800000000.0,8000000000.0
Đầu tư tài chính,Tài sản tài chính > Đầu tư tài chính,Đầu tư tài chính,277.025.817.397,77.104.484.084,277025817397.0,77104484084.0
,,,529.274.830.553,401.508.707.678,529274830553.0,401508707678.0
Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,Công nợ tài chính,,
Các khoản vay,Công nợ tài chính > Các khoản vay,Các khoản vay,681.116.157.371,132.883.657.371,681116157371.0,132883657371.0
Phải trả người bán và phải trả khác,Công nợ tài chính > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,33.461.569.523,41.232.113.370,33461569523.0,41232113370.0
Chi phí phải trả,Công nợ tài chính > Chi phí phải trả,Chi phí phải trả,1.163.636.364,-,1163636364.0,
,,,715.741.363.258,174.115.770.741,715741363258.0,174115770741.0
