row_label_raw,row_label_full,col_0,col_1,Số cuối năm,Mua trong kỳ,Bán trong kỳ,Số đầu năm,numeric__col_1,numeric__Số cuối năm,numeric__Mua trong kỳ,numeric__Bán trong kỳ,numeric__Số đầu năm
Lý do thay đổi với từng loại cổ phiếu,Lý do thay đổi với từng loại cổ phiếu,Lý do thay đổi với từng loại cổ phiếu,Lý do thay đổi với từng loại cổ phiếu,Lý do thay đổi với từng loại cổ phiếu,Lý do thay đổi với từng loại cổ phiếu,Lý do thay đổi với từng loại cổ phiếu,Lý do thay đổi với từng loại cổ phiếu,,,,,
Tổng Công ty Cổ phần Viglacera,Tổng Công ty Cổ phần Viglacera,Tổng Công ty Cổ phần Viglacera,VGC,,,,,,,,,
+ Về số lượng,Tổng Công ty Cổ phần Viglacera > + Về số lượng,+ Về số lượng,,14.500.000,14.500.000,,,,14500000.0,14500000.0,,
+ Về giá trị,Tổng Công ty Cổ phần Viglacera > + Về giá trị,+ Về giá trị,,200.100.000.000,200.100.000.000,-,-,,200100000000.0,200100000000.0,,
Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí,PVD,,,,,,,,,
+ Về số lượng,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí > + Về số lượng,+ Về số lượng,,167.200,167.200,-,-,,167200.0,167200.0,,
+ Về giá trị,Tổng Công ty Cổ phần Khoan và Dịch vụ Khoan Dầu khí > + Về giá trị,+ Về giá trị,,4.555.545.000,4.555.545.000,-,-,,4555545000.0,4555545000.0,,
Công ty Cổ phần Quốc Tế Sơn Hà,Công ty Cổ phần Quốc Tế Sơn Hà,Công ty Cổ phần Quốc Tế Sơn Hà,SHI,,,,,,,,,
+ Về số lượng,Công ty Cổ phần Quốc Tế Sơn Hà > + Về số lượng,+ Về số lượng,,225.075,225.075,-,-,,225075.0,225075.0,,
+ Về giá trị,Công ty Cổ phần Quốc Tế Sơn Hà > + Về giá trị,+ Về giá trị,,1.963.932.000,1.963.932.000,-,-,,1963932000.0,1963932000.0,,
Công ty Cổ phần Đường Biên Hòa,Công ty Cổ phần Đường Biên Hòa,Công ty Cổ phần Đường Biên Hòa,BHS,,,,,,,,,
+ Về số lượng,Công ty Cổ phần Đường Biên Hòa > + Về số lượng,+ Về số lượng,,100.000,203.720,(103.720),-,,100000.0,203720.0,-103720.0,
+ Về giá trị,Công ty Cổ phần Đường Biên Hòa > + Về giá trị,+ Về giá trị,,1.894.368.040,3.859.136.000,(1.964.767.960),-,,1894368040.0,3859136000.0,-1964767960.0,
Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,Ngân hàng TMCP Á Châu,ACB,,,,,,,,,
+ Về số lượng,Ngân hàng TMCP Á Châu > + Về số lượng,+ Về số lượng,,7.500,137.500,(130.000),-,,7500.0,137500.0,-130000.0,
+ Về giá trị,Ngân hàng TMCP Á Châu > + Về giá trị,+ Về giá trị,,130.437.063,2.487.000.000,(2.356.562.937),-,,130437063.0,2487000000.0,-2356562937.0,
Tổng Công ty Cổ phần Khí Việt Nam,Tổng Công ty Cổ phần Khí Việt Nam,Tổng Công ty Cổ phần Khí Việt Nam,GAS,,,,,,,,,
+ Về số lượng,Tổng Công ty Cổ phần Khí Việt Nam > + Về số lượng,+ Về số lượng,,-,30.000,(30.000),-,,,30000.0,-30000.0,
+ Về giá trị,Tổng Công ty Cổ phần Khí Việt Nam > + Về giá trị,+ Về giá trị,,-,1.975.000.000,(1.975.000.000),-,,,1975000000.0,-1975000000.0,
Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,PVT,,,,,,,,,
+ Về số lượng,Tổng Công ty Cổ phần Vận tải Dầu khí > + Về số lượng,+ Về số lượng,,-,110.000,(110.000),-,,,110000.0,-110000.0,
+ Về giá trị,Tổng Công ty Cổ phần Vận tải Dầu khí > + Về giá trị,+ Về giá trị,,-,1.570.000.000,(1.570.000.000),-,,,1570000000.0,-1570000000.0,
Công ty Cổ phần Chứng khoán phố Wall,Công ty Cổ phần Chứng khoán phố Wall,Công ty Cổ phần Chứng khoán phố Wall,WSS,,,,,,,,,
+ Về số lượng,Công ty Cổ phần Chứng khoán phố Wall > + Về số lượng,+ Về số lượng,,-,-,(930.200),930.200,,,,-930200.0,930200.0
+ Về giá trị,Công ty Cổ phần Chứng khoán phố Wall > + Về giá trị,+ Về giá trị,,-,-,(9.302.000.000),9.302.000.000,,,,-9302000000.0,9302000000.0
