row_label_raw,row_label_full,col_0,01/01/2016(Trình bày lại),31/12/2015(Đã kiểm toán),Chênh lệch,Chênh lệch_1,numeric__01/01/2016(Trình bày lại),numeric__31/12/2015(Đã kiểm toán),numeric__Chênh lệch,numeric__Chênh lệch_1
Chứng khoán kinh doanh,Chứng khoán kinh doanh,Chứng khoán kinh doanh,18.307.878.147,11.064.360.000,7.243.518.147,(i),18307878147.0,11064360000.0,7243518147.0,
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,76.130.635.500,83.374.153.647,(7.243.518.147),(i),76130635500.0,83374153647.0,-7243518147.0,
Hao mòn lũy kế tài sản cố định vô hình,Hao mòn lũy kế tài sản cố định vô hình,Hao mòn lũy kế tài sản cố định vô hình,-,(1.427.610.000),1.427.610.000,(ii),,-1427610000.0,1427610000.0,
Hao mòn lũy kế bắt động sản đầu tư,Hao mòn lũy kế bắt động sản đầu tư,Hao mòn lũy kế bắt động sản đầu tư,-,(1.113.364.000),1.113.364.000,(ii),,-1113364000.0,1113364000.0,
Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,Dự phòng giảm giá chứng khoán kinh doanh,(7.703.394.063),(2.232.480.000),(5.470.914.063),(iii),-7703394063.0,-2232480000.0,-5470914063.0,
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(64.167.449.343),(69.638.363.406),5.470.914.063,(iii),-64167449343.0,-69638363406.0,5470914063.0,
Lợi nhuận sau thuế chưa phân phối đến cuối kỳ trước,Lợi nhuận sau thuế chưa phân phối đến cuối kỳ trước,Lợi nhuận sau thuế chưa phân phối đến cuối kỳ trước,16.496.472.862,13.955.498.862,2.540.974.000,,16496472862.0,13955498862.0,2540974000.0,
