row_label_raw,row_label_full,col_0,Tại ngày cuối năm,Tại ngày cuối năm_1,Tại ngày đầu năm,Tại ngày đầu năm_1,numeric__Tại ngày cuối năm,numeric__Tại ngày cuối năm_1,numeric__Tại ngày đầu năm,numeric__Tại ngày đầu năm_1
,,,Vốn góp,Tỉ lệ,Vốn góp,Tỉ lệ,,,,
,,,VND,%,VND,%,,,,
Công ty Cổ phần Đầu tư và Thương mại Xuất nhập khẩu HFC Việt Nam,Công ty Cổ phần Đầu tư và Thương mại Xuất nhập khẩu HFC Việt Nam,Công ty Cổ phần Đầu tư và Thương mại Xuất nhập khẩu HFC Việt Nam,304.052.810.000,"16,87%",277.648.650.000,"15,40%",304052810000.0,0.16870000000000002,277648650000.0,0.154
Ống Đỗ Văn Trắc,Ống Đỗ Văn Trắc,Ống Đỗ Văn Trắc,90.604.670.000,"5,03%",90.604.670.000,"5,03%",90604670000.0,0.050300000000000004,90604670000.0,0.050300000000000004
Các cổ đông khác,Các cổ đông khác,Các cổ đông khác,1.407.695.880.000,"78,10%",1.434.100.040.000,"79,57%",1407695880000.0,0.7809999999999999,1434100040000.0,0.7957
,,,1.802.353.360.000,"100,00%",1.802.353.360.000,"100,00%",1802353360000.0,1.0,1802353360000.0,1.0
