row_label_raw,row_label_full,Tại ngày cuối năm,Dưới 1 nămVND > Tại ngày cuối năm,Từ 1 - 5 nămVND > Tại ngày cuối năm,TổngVND > Tại ngày cuối năm,numeric__Dưới 1 nămVND > Tại ngày cuối năm,numeric__Từ 1 - 5 nămVND > Tại ngày cuối năm,numeric__TổngVND > Tại ngày cuối năm
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,50.026.840.528,-,50.026.840.528,50026840528.0,,50026840528.0
Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,108.344.795.305,82.077.377.323,190.422.172.628,108344795305.0,82077377323.0,190422172628.0
Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,11.800.000.000,-,11.800.000.000,11800000000.0,,11800000000.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,210.525.817.397,66.500.000.000,277.025.817.397,210525817397.0,66500000000.0,277025817397.0
,,,380.697.453.230,148.577.377.323,529.274.830.553,380697453230.0,148577377323.0,529274830553.0
Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,Tại ngày cuối năm,,,
Các khoản vay,Tại ngày cuối năm > Các khoản vay,Các khoản vay,681.116.157.371,-,681.116.157.371,681116157371.0,,681116157371.0
Phải trả người bán và phải trả khác,Tại ngày cuối năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,32.621.817.173,839.752.350,33.461.569.523,32621817173.0,839752350.0,33461569523.0
Chi phí phải trả,Tại ngày cuối năm > Chi phí phải trả,Chi phí phải trả,1.163.636.364,-,1.163.636.364,1163636364.0,,1163636364.0
,,,714.901.610.908,839.752.350,715.741.363.258,714901610908.0,839752350.0,715741363258.0
Chênh lệch thanh khoản thuần,Tại ngày cuối năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(334.204.157.678),147.737.624.973,(186.466.532.705),-334204157678.0,147737624973.0,-186466532705.0
