row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm (Trình bày lại)
A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,A - TÀI SẢN NGẮN HẠN,100,,385.955.092.413,83.262.234.218,100.0,,385955092413.0,83262234218.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,,50.026.840.528,1.394.769.239,110.0,,50026840528.0,1394769239.0
1. Tiền,1. Tiền,1. Tiền,111,5,50.026.840.528,1.394.769.239,111.0,5.0,50026840528.0,1394769239.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,210.525.817.397,10.604.484.084,120.0,6.0,210525817397.0,10604484084.0
1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,1. Chứng khoán kinh doanh,121,,217.650.160.250,18.307.878.147,121.0,,217650160250.0,18307878147.0
2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,2. Dự phòng giảm giá chứng khoán kinh doanh,122,,(7.124.342.853),(7.703.394.063),122.0,,-7124342853.0,-7703394063.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,120.648.273.556,69.720.274.437,130.0,,120648273556.0,69720274437.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,141.159.300,51.137.688.353,131.0,7.0,141159300.0,51137688353.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,,503.478.251,868.900.000,132.0,,503478251.0,868900000.0
3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,3. Phải thu về cho vay ngắn hạn,135,8,11.800.000.000,8.000.000.000,135.0,8.0,11800000000.0,8000000000.0
4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,4. Phải thu ngắn hạn khác,136,9,108.203.636.005,9.713.686.084,136.0,9.0,108203636005.0,9713686084.0
IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,IV. Tài sản ngắn hạn khác,150,,4.754.160.932,1.542.706.458,150.0,,4754160932.0,1542706458.0
1. Thuế GTGT được khấu trừ,1. Thuế GTGT được khấu trừ,1. Thuế GTGT được khấu trừ,152,,3.211.454.474,-,152.0,,3211454474.0,
2. Thuế và các khoản khác phải thu Nhà nước,2. Thuế và các khoản khác phải thu Nhà nước,2. Thuế và các khoản khác phải thu Nhà nước,153,10,1.542.706.458,1.542.706.458,153.0,10.0,1542706458.0,1542706458.0
