row_label_raw,row_label_full,col_0,Số năm khấu hao,numeric__Số năm khấu hao
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",05-15,
"Máy móc, thiết bị","Nhà cửa, vật kiến trúc > Máy móc, thiết bị","Máy móc, thiết bị",06,6.0
"Phương tiện vận tải, truyền dẫn","Nhà cửa, vật kiến trúc > Phương tiện vận tải, truyền dẫn","Phương tiện vận tải, truyền dẫn",08,8.0
"Thiết bị, dụng cụ quản lý","Nhà cửa, vật kiến trúc > Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",03,3.0
