row_label_raw,row_label_full,col_0,Số cuối năm > Giá trịVND,Số cuối năm > Số có khả năngtrả nợVND,Số đầu năm > Giá trịVND,Số đầu năm > Số có khả năngtrả nợVND,numeric__Số cuối năm > Giá trịVND,numeric__Số cuối năm > Số có khả năngtrả nợVND,numeric__Số đầu năm > Giá trịVND,numeric__Số đầu năm > Số có khả năngtrả nợVND
Bên liên quan,Bên liên quan,Bên liên quan,71.500.000,71.500.000,8.786.044.100,8.786.044.100,71500000.0,71500000.0,8786044100.0,8786044100.0
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,71.500.000,71.500.000,8.786.044.100,8.786.044.100,71500000.0,71500000.0,8786044100.0,8786044100.0
Các nhà cung cấp khác,Các nhà cung cấp khác,Các nhà cung cấp khác,1.365.937.040,1.365.937.040,28.297.418.946,28.297.418.946,1365937040.0,1365937040.0,28297418946.0,28297418946.0
Công ty TNHH Tư vấn Thiết kế và Quản lý Dự án Hồng Ngọc,Công ty TNHH Tư vấn Thiết kế và Quản lý Dự án Hồng Ngọc,Công ty TNHH Tư vấn Thiết kế và Quản lý Dự án Hồng Ngọc,543.600.000,543.600.000,-,-,543600000.0,543600000.0,,
Công ty Cổ phần TV HUB,Công ty Cổ phần TV HUB,Công ty Cổ phần TV HUB,405.329.100,405.329.100,-,-,405329100.0,405329100.0,,
Công ty Cổ phần Xây dựng và Phát triển nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển nhà Hoàng Anh,400.000.000,400.000.000,400.000.000,400.000.000,400000000.0,400000000.0,400000000.0,400000000.0
Công ty Cổ Phần Cáp - Nhựa Vĩnh Khánh,Công ty Cổ Phần Cáp - Nhựa Vĩnh Khánh,Công ty Cổ Phần Cáp - Nhựa Vĩnh Khánh,-,-,527.048.204,527.048.204,,,527048204.0,527048204.0
Công ty Cổ phần tập đoàn Mai Linh,Công ty Cổ phần tập đoàn Mai Linh,Công ty Cổ phần tập đoàn Mai Linh,17.007.940,17.007.940,-,-,17007940.0,17007940.0,,
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,-,-,27.370.370.742,27.370.370.742,,,27370370742.0,27370370742.0
,,,1.437.437.040,1.437.437.040,37.083.463.046,37.083.463.046,1437437040.0,1437437040.0,37083463046.0,37083463046.0
