row_label_raw,row_label_full,Thay đổi trong vốn chủ sở hữu,Thay đổi trong vốn chủ sở hữu_1,Thay đổi trong vốn chủ sở hữu_2,Thay đổi trong vốn chủ sở hữu_3,Thay đổi trong vốn chủ sở hữu_4,Thay đổi trong vốn chủ sở hữu_5,numeric__Thay đổi trong vốn chủ sở hữu_1,numeric__Thay đổi trong vốn chủ sở hữu_2,numeric__Thay đổi trong vốn chủ sở hữu_3,numeric__Thay đổi trong vốn chủ sở hữu_4,numeric__Thay đổi trong vốn chủ sở hữu_5
,,,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Tổng cộng,,,,,
Số dư tại 01/01/2015,Số dư tại 01/01/2015,Số dư tại 01/01/2015,1.307.984.320.000,901.532.493.943,150.829.313.956,83.930.071.437,2.444.276.199.336,1307984320000.0,901532493943.0,150829313956.0,83930071437.0,2444276199336.0
Tăng vốn điều lệ từ nguồn thẳng dư vốn cổ phần,Tăng vốn điều lệ từ nguồn thẳng dư vốn cổ phần,Tăng vốn điều lệ từ nguồn thẳng dư vốn cổ phần,494.369.040.000,(494.369.040.000),-,-,-,494369040000.0,-494369040000.0,,,
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,33.731.614.991,33.731.614.991,,,,33731614991.0,33731614991.0
Chia cổ tức từ lợi nhuận 2014,Chia cổ tức từ lợi nhuận 2014,Chia cổ tức từ lợi nhuận 2014,-,-,-,(69.274.572.575),(69.274.572.575),,,,-69274572575.0,-69274572575.0
Trích quỹ từ lợi nhuận 2014,Trích quỹ từ lợi nhuận 2014,Trích quỹ từ lợi nhuận 2014,-,-,-,(700.000.000),(700.000.000),,,,-700000000.0,-700000000.0
Tăng/ (Giảm) khác,Tăng/ (Giảm) khác,Tăng/ (Giảm) khác,-,(220.004.000),-,2.540.974.000,2.320.970.000,,-220004000.0,,2540974000.0,2320970000.0
Số dư tại 01/01/2016,Số dư tại 01/01/2016,Số dư tại 01/01/2016,1.802.353.360.000,406.943.449.943,150.829.313.956,50.228.087.853,2.410.354.211.752,1802353360000.0,406943449943.0,150829313956.0,50228087853.0,2410354211752.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,32.127.949.932,32.127.949.932,,,,32127949932.0,32127949932.0
Trích quỹ trong năm (i),Trích quỹ trong năm (i),Trích quỹ trong năm (i),-,-,-,(350.000.000),(350.000.000),,,,-350000000.0,-350000000.0
Số dư tại 31/12/2016,Số dư tại 31/12/2016,Số dư tại 31/12/2016,1.802.353.360.000,406.943.449.943,150.829.313.956,82.006.037.785,2.442.132.161.684,1802353360000.0,406943449943.0,150829313956.0,82006037785.0,2442132161684.0
