row_label_raw,row_label_full,col_0,col_1,Số cuối năm > Giá gốcVND,Số cuối năm > Dự phòngVND,Số cuối năm > Giá trị hợp lýVND,Số đầu năm > Giá gốcVND,Số đầu năm > Dự phòngVND,Số đầu năm > Giá trị hợp lýVND,numeric__col_1,numeric__Số cuối năm > Giá gốcVND,numeric__Số cuối năm > Dự phòngVND,numeric__Số cuối năm > Giá trị hợp lýVND,numeric__Số đầu năm > Giá gốcVND,numeric__Số đầu năm > Dự phòngVND,numeric__Số đầu năm > Giá trị hợp lýVND
b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,b) Đầu tư tài chính dài hạn,,,,,,,
- Đầu tư vào công ty con,b) Đầu tư tài chính dài hạn > - Đầu tư vào công ty con,- Đầu tư vào công ty con,,1.914.800.000.000,73.958.744.168,1.840.841.255.832,1.877.900.000.000,27.894.686.692,1.850.005.313.308,,1914800000000.0,73958744168.0,1840841255832.0,1877900000000.0,27894686692.0,1850005313308.0
+ Công ty Cổ phần Sacom Tuyền Lâm,b) Đầu tư tài chính dài hạn > + Công ty Cổ phần Sacom Tuyền Lâm,+ Công ty Cổ phần Sacom Tuyền Lâm,(i),897.300.000.000,58.280.778.249,839.019.221.751,860.400.000.000,14.450.645.993,845.949.354.007,,897300000000.0,58280778249.0,839019221751.0,860400000000.0,14450645993.0,845949354007.0
+ Công ty Cổ phần Dây và Cáp Sacom,b) Đầu tư tài chính dài hạn > + Công ty Cổ phần Dây và Cáp Sacom,+ Công ty Cổ phần Dây và Cáp Sacom,(ii),499.500.000.000,-,499.500.000.000,499.500.000.000,-,499.500.000.000,,499500000000.0,,499500000000.0,499500000000.0,,499500000000.0
+ Công ty Cổ phần Địa ốc Sacom,b) Đầu tư tài chính dài hạn > + Công ty Cổ phần Địa ốc Sacom,+ Công ty Cổ phần Địa ốc Sacom,(ii),400.000.000.000,-,400.000.000.000,400.000.000.000,-,400.000.000.000,,400000000000.0,,400000000000.0,400000000000.0,,400000000000.0
+ Công ty TNHH Sacom Chíp Sáng,b) Đầu tư tài chính dài hạn > + Công ty TNHH Sacom Chíp Sáng,+ Công ty TNHH Sacom Chíp Sáng,(i),118.000.000.000,15.677.965.919,102.322.034.081,118.000.000.000,13.444.040.699,104.555.959.301,,118000000000.0,15677965919.0,102322034081.0,118000000000.0,13444040699.0,104555959301.0
"- Đầu tư vào công ty liên doanh, liên kết","b) Đầu tư tài chính dài hạn > - Đầu tư vào công ty liên doanh, liên kết","- Đầu tư vào công ty liên doanh, liên kết",,778.106.010.060,6.134.003.526,771.972.006.534,330.208.041.850,26.642.127.151,303.565.914.699,,778106010060.0,6134003526.0,771972006534.0,330208041850.0,26642127151.0,303565914699.0
+ Công ty Cổ Phần Dịch vụ Du Lịch,+ Công ty Cổ Phần Dịch vụ Du Lịch,+ Công ty Cổ Phần Dịch vụ Du Lịch,+ Công ty Cổ Phần Dịch vụ Du Lịch,+ Công ty Cổ Phần Dịch vụ Du Lịch,+ Công ty Cổ Phần Dịch vụ Du Lịch,+ Công ty Cổ Phần Dịch vụ Du Lịch,+ Công ty Cổ Phần Dịch vụ Du Lịch,+ Công ty Cổ Phần Dịch vụ Du Lịch,+ Công ty Cổ Phần Dịch vụ Du Lịch,,,,,,,
Phú Thọ,+ Công ty Cổ Phần Dịch vụ Du Lịch > Phú Thọ,Phú Thọ,(iii),423.975.972.000,,423.975.972.000,-,-,-,,423975972000.0,,423975972000.0,,,
+ Công ty Cổ phần Bất động sản Hiệp Phú,+ Công ty Cổ Phần Dịch vụ Du Lịch > + Công ty Cổ phần Bất động sản Hiệp Phú,+ Công ty Cổ phần Bất động sản Hiệp Phú,(i),176.185.000.000,1.318.198.461,174.866.801.539,176.185.000.000,1.213.699.759,174.971.300.241,,176185000000.0,1318198461.0,174866801539.0,176185000000.0,1213699759.0,174971300241.0
+ Công ty Cổ Phần Đầu Tư và Phát triển Hạ,+ Công ty Cổ Phần Đầu Tư và Phát triển Hạ,+ Công ty Cổ Phần Đầu Tư và Phát triển Hạ,+ Công ty Cổ Phần Đầu Tư và Phát triển Hạ,+ Công ty Cổ Phần Đầu Tư và Phát triển Hạ,+ Công ty Cổ Phần Đầu Tư và Phát triển Hạ,+ Công ty Cổ Phần Đầu Tư và Phát triển Hạ,+ Công ty Cổ Phần Đầu Tư và Phát triển Hạ,+ Công ty Cổ Phần Đầu Tư và Phát triển Hạ,+ Công ty Cổ Phần Đầu Tư và Phát triển Hạ,,,,,,,
Tầng An Việt,+ Công ty Cổ Phần Đầu Tư và Phát triển Hạ > Tầng An Việt,Tầng An Việt,(ii),155.500.000.000,-,155.500.000.000,-,,,,155500000000.0,,155500000000.0,,,
+ Công ty Cổ phần Vật liệu điện và Viễn,+ Công ty Cổ phần Vật liệu điện và Viễn,+ Công ty Cổ phần Vật liệu điện và Viễn,+ Công ty Cổ phần Vật liệu điện và Viễn,+ Công ty Cổ phần Vật liệu điện và Viễn,+ Công ty Cổ phần Vật liệu điện và Viễn,+ Công ty Cổ phần Vật liệu điện và Viễn,+ Công ty Cổ phần Vật liệu điện và Viễn,+ Công ty Cổ phần Vật liệu điện và Viễn,+ Công ty Cổ phần Vật liệu điện và Viễn,,,,,,,
thông Sam Cường,+ Công ty Cổ phần Vật liệu điện và Viễn > thông Sam Cường,thông Sam Cường,(ii),16.497.196.000,-,16.497.196.000,12.005.100.000,-,12.005.100.000,,16497196000.0,,16497196000.0,12005100000.0,,12005100000.0
+ Công ty Cổ phần Nhựa Sam Phú,+ Công ty Cổ phần Vật liệu điện và Viễn > + Công ty Cổ phần Nhựa Sam Phú,+ Công ty Cổ phần Nhựa Sam Phú,(iv),5.947.842.060,4.815.805.065,1.132.036.995,8.281.805.400,4.815.805.065,3.466.000.335,,5947842060.0,4815805065.0,1132036995.0,8281805400.0,4815805065.0,3466000335.0
+ Công ty Liên doanh Cáp Taihan - Sacom,+ Công ty Cổ phần Vật liệu điện và Viễn > + Công ty Liên doanh Cáp Taihan - Sacom,+ Công ty Liên doanh Cáp Taihan - Sacom,,-,-,-,133.736.136.450,20.612.622.327,113.123.514.123,,,,,133736136450.0,20612622327.0,113123514123.0
- Đầu tư vào đơn vị khác,+ Công ty Cổ phần Vật liệu điện và Viễn > - Đầu tư vào đơn vị khác,- Đầu tư vào đơn vị khác,,66.500.000.000,-,66.500.000.000,76.130.635.500,9.630.635.500,66.500.000.000,,66500000000.0,,66500000000.0,76130635500.0,9630635500.0,66500000000.0
+ Dự án Khu dân cư Nhon Trạch,+ Công ty Cổ phần Vật liệu điện và Viễn > + Dự án Khu dân cư Nhon Trạch,+ Dự án Khu dân cư Nhon Trạch,(ii),50.000.000.000,-,50.000.000.000,50.000.000.000,-,50.000.000.000,,50000000000.0,,50000000000.0,50000000000.0,,50000000000.0
+ Công ty Cổ phần Momota,+ Công ty Cổ phần Vật liệu điện và Viễn > + Công ty Cổ phần Momota,+ Công ty Cổ phần Momota,(ii),13.500.000.000,-,13.500.000.000,13.500.000.000,-,13.500.000.000,,13500000000.0,,13500000000.0,13500000000.0,,13500000000.0
+ Công ty Cổ phần Du lịch Bưu Điện,+ Công ty Cổ phần Vật liệu điện và Viễn > + Công ty Cổ phần Du lịch Bưu Điện,+ Công ty Cổ phần Du lịch Bưu Điện,(ii),3.000.000.000,-,3.000.000.000,3.000.000.000,-,3.000.000.000,,3000000000.0,,3000000000.0,3000000000.0,,3000000000.0
+ Công ty TNHH Thăng Long,+ Công ty Cổ phần Vật liệu điện và Viễn > + Công ty TNHH Thăng Long,+ Công ty TNHH Thăng Long,,-,-,-,9.630.635.500,9.630.635.500,-,,,,,9630635500.0,9630635500.0,
,,,,2.759.406.010.060,80.092.747.694,2.679.313.262.366,2.284.238.677.350,64.167.449.343,2.220.071.228.007,,2759406010060.0,80092747694.0,2679313262366.0,2284238677350.0,64167449343.0,2220071228007.0
