row_label_raw,row_label_full,col_0,Dưới 1 năm,Từ 1 - 5 năm,Tổng,numeric__Dưới 1 năm,numeric__Từ 1 - 5 năm,numeric__Tổng
,,,VND,VND,VND,,,
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Tiền và các khoản tương đương tiền,Tại ngày đầu năm > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,1.394.769.239,-,1.394.769.239,1394769239.0,,1394769239.0
Phải thu khách hàng và phải thu khác,Tại ngày đầu năm > Phải thu khách hàng và phải thu khác,Phải thu khách hàng và phải thu khác,60.851.374.437,254.158.079.918,315.009.454.355,60851374437.0,254158079918.0,315009454355.0
Phải thu cho vay ngắn hạn,Tại ngày đầu năm > Phải thu cho vay ngắn hạn,Phải thu cho vay ngắn hạn,8.000.000.000,-,8.000.000.000,8000000000.0,,8000000000.0
Đầu tư tài chính,Tại ngày đầu năm > Đầu tư tài chính,Đầu tư tài chính,10.604.484.084,66.500.000.000,77.104.484.084,10604484084.0,66500000000.0,77104484084.0
,,,80.850.627.760,320.658.079.918,401.508.707.678,80850627760.0,320658079918.0,401508707678.0
Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,Tại ngày đầu năm,,,
Các khoản vay,Tại ngày đầu năm > Các khoản vay,Các khoản vay,132.883.657.371,-,132.883.657.371,132883657371.0,,132883657371.0
Phải trả người bán và phải trả khác,Tại ngày đầu năm > Phải trả người bán và phải trả khác,Phải trả người bán và phải trả khác,41.232.113.370,-,41.232.113.370,41232113370.0,,41232113370.0
,,,174.115.770.741,-,174.115.770.741,174115770741.0,,174115770741.0
Chênh lệch thanh khoản thuần,Tại ngày đầu năm > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(93.265.142.981),320.658.079.918,227.392.936.937,-93265142981.0,320658079918.0,227392936937.0
