row_label_raw,row_label_full,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Đơn vị: VND Số đầu năm (Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Đơn vị: VND Số đầu năm (Trình bày lại)
C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,C - NỘ PHẢI TRẢ,300,,739.052.190.812,177.283.993.278,300.0,,739052190812.0,177283993278.0
I. Nợ ngắn hạn,I. Nợ ngắn hạn,I. Nợ ngắn hạn,310,,738.212.438.462,177.283.993.278,310.0,,738212438462.0,177283993278.0
1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,1. Phải trả người bán ngắn hạn,311,15,1.437.437.040,37.083.463.046,311.0,15.0,1437437040.0,37083463046.0
2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,2. Người mua trả tiền trước ngắn hạn,312,16,20.606.495.400,86.124.500,312.0,16.0,20606495400.0,86124500.0
3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,3. Thuế và các khoản phải nộp Nhà nước,313,10,273.128.080,1.205.498.182,313.0,10.0,273128080.0,1205498182.0
4. Phải trả người lao động,4. Phải trả người lao động,4. Phải trả người lao động,314,,2.413.883.952,1.912.629.733,314.0,,2413883952.0,1912629733.0
5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,5. Chỉ phí phải trả ngắn hạn,315,,1.163.636.364,-,315.0,,1163636364.0,
6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,6. Phải trả ngắn hạn khác,319,17,31.184.380.133,4.148.650.324,319.0,17.0,31184380133.0,4148650324.0
7. Vay và nợ thuê tài chính ngắn hạn,7. Vay và nợ thuê tài chính ngắn hạn,7. Vay và nợ thuê tài chính ngắn hạn,320,18,681.116.157.371,132.883.657.371,320.0,18.0,681116157371.0,132883657371.0
"8. Quỹ khen thưởng, phúc lợi","8. Quỹ khen thưởng, phúc lợi","8. Quỹ khen thưởng, phúc lợi",322,,17.320.122,(36.029.878),322.0,,17320122.0,-36029878.0
II. Nợ dài hạn,II. Nợ dài hạn,II. Nợ dài hạn,330,,839.752.350,-,330.0,,839752350.0,
1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,1. Phải trả dài hạn khác,337,17,839.752.350,-,337.0,17.0,839752350.0,
D - VỐN CHỦ SỐ HỮU,D - VỐN CHỦ SỐ HỮU,D - VỐN CHỦ SỐ HỮU,400,,2.442.132.161.684,2.410.354.211.752,400.0,,2442132161684.0,2410354211752.0
I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,I. Vốn chủ sở hữu,410,19,2.442.132.161.684,2.410.354.211.752,410.0,19.0,2442132161684.0,2410354211752.0
1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,1. Vốn góp của chủ sở hữu,411,,1.802.353.360.000,1.802.353.360.000,411.0,,1802353360000.0,1802353360000.0
- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,1.802.353.360.000,1.802.353.360.000,,,1802353360000.0,1802353360000.0
2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,2. Thặng dư vốn cổ phần,412,,406.943.449.943,406.943.449.943,412.0,,406943449943.0,406943449943.0
3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,3. Quỹ đầu tư phát triển,418,,150.829.313.956,150.829.313.956,418.0,,150829313956.0,150829313956.0
4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,4. Lợi nhuận sau thuế chưa phân phối,421,,82.006.037.785,50.228.087.853,421.0,,82006037785.0,50228087853.0
- LNST chưa PP lũy kế đến cuối năm trước,- LNST chưa PP lũy kế đến cuối năm trước,- LNST chưa PP lũy kế đến cuối năm trước,421a,,49.878.087.853,16.496.472.862,,,49878087853.0,16496472862.0
- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,- LNST chưa phân phối năm nay,421b,,32.127.949.932,33.731.614.991,,,32127949932.0,33731614991.0
TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),440,,3.181.184.352.496,2.587.638.205.030,440.0,,3181184352496.0,2587638205030.0
