row_label_raw,row_label_full,col_0,Máy mócvà thiết bịVND,Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,TổngVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__TổngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,173.522.250,6.223.440.250,2.915.489.469,9.312.451.969,173522250.0,6223440250.0,2915489469.0,9312451969.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,178.087.963,178.087.963,,,178087963.0,178087963.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,173.522.250,6.223.440.250,3.093.577.432,9.490.539.932,173522250.0,6223440250.0,3093577432.0,9490539932.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,106.123.917,4.094.715.120,1.234.792.171,5.435.631.208,106123917.0,4094715120.0,1234792171.0,5435631208.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,31.795.000,1.084.620.062,596.623.170,1.713.038.232,31795000.0,1084620062.0,596623170.0,1713038232.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,137.918.917,5.179.335.182,1.831.415.341,7.148.669.440,137918917.0,5179335182.0,1831415341.0,7148669440.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,67.398.333,2.128.725.130,1.680.697.298,3.876.820.761,67398333.0,2128725130.0,1680697298.0,3876820761.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,35.603.333,1.044.105.068,1.262.162.091,2.341.870.492,35603333.0,1044105068.0,1262162091.0,2341870492.0
