row_label_raw,row_label_full,Bên cho vay,Số dư cuối năm > VND,Số dư đầu năm > VND,Ngày đáo hạn,Lãi suất > %/năm,Mục đích vay,Tài sản đảm báo,numeric__Số dư cuối năm > VND,numeric__Số dư đầu năm > VND,numeric__Ngày đáo hạn,numeric__Lãi suất > %/năm,numeric__Mục đích vay,numeric__Tài sản đảm báo
Ngân hàng TNHH,Ngân hàng TNHH,Ngân hàng TNHH,-,27.297.843.573,,,,,,27297843573.0,,,,
MTV Standard Chartered (Việt Nam),MTV Standard Chartered (Việt Nam),MTV Standard Chartered (Việt Nam),,,,,,,,,,,,
Ngân hàng TMCP Đầu tư và Phát triển Việt,MTV Standard Chartered (Việt Nam) > Ngân hàng TMCP Đầu tư và Phát triển Việt,Ngân hàng TMCP Đầu tư và Phát triển Việt,-,10.029.686.579,,,,,,10029686579.0,,,,
Nam - Chi nhánh Sở Giao dịch 1,Nam - Chi nhánh Sở Giao dịch 1,Nam - Chi nhánh Sở Giao dịch 1,,,,,,,,,,,,
,,,162.951.940.680,209.086.520.617,,,,,162951940680.0,209086520617.0,,,,
