row_label_raw,row_label_full,STTTên công ty con,STTTên công ty con_1,Nơi thành lập và hoạt động,Tỷ lệ sở hữu trực tiếp,Tỷ lệ quyền biểu quyết nắm giữ,Hoạt động chính,numeric__STTTên công ty con_1,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ sở hữu trực tiếp,numeric__Tỷ lệ quyền biểu quyết nắm giữ,numeric__Hoạt động chính
1.,1.,1.,Công ty Cổ phần Dây cáp Điện Việt Nam (“CADIVI”) (i),Thành phố Hồ Chí Minh,"97,09%","97,09%",Sản xuất kinh doanh dây và cáp điện,,,0.9709,0.9709,
2.,2.,2.,Công ty Cổ phần Thiết bị Điện (“THIBIDI”),Đồng Nai,"98,07%","98,07%","Sản xuất, chế tạo, kinh doanh, sửa chữa thiết bị điện, máy biến áp",,,0.9806999999999999,0.9806999999999999,
3.,3.,3.,Công ty Cổ phần Thiết bị Đo điện EMIC (“EMIC”),Hà Nội,"90,00%","90,00%","Sản xuất và kinh doanh thiết bị đo điện gồm công tơ điện, đồng hồ Volt-Ampe, máy biến dòng, máy biến áp, tủ điện và các sản phẩm khác",,,0.9,0.9,
