row_label_raw,row_label_full,col_0,CHÌ TIỀU,Mã số,Thuyết minh,Năm nay,Năm trước,numeric__CHÌ TIỀU,numeric__Mã số,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Doanh thu bán hàng và cung cấp dịch vụ,01,23,990.272.465.832,1.365.944.919.705,,1.0,23.0,990272465832.0,1365944919705.0
2.,2.,2.,Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01),10,,990.272.465.832,1.365.944.919.705,,10.0,,990272465832.0,1365944919705.0
3.,3.,3.,Giá vốn hàng bán và dịch vụ cung cấp,11,24,979.210.242.687,1.349.390.574.698,,11.0,24.0,979210242687.0,1349390574698.0
4.,4.,4.,Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,11.062.223.145,16.554.345.007,,20.0,,11062223145.0,16554345007.0
5.,5.,5.,Doanh thu hoạt động tài chính,21,25,3.669.397.022.773,965.988.573.740,,21.0,25.0,3669397022773.0,965988573740.0
6.,6.,6.,Chi phí tài chính,22,26,75.332.491.721,94.130.369.461,,22.0,26.0,75332491721.0,94130369461.0
,,,- Trong đó: Chi phí lãi vay,23,,66.798.317.883,94.644.147.806,,23.0,,66798317883.0,94644147806.0
7.,7.,7.,Chi phí bán hàng,25,27,5.873.813.196,4.831.841.304,,25.0,27.0,5873813196.0,4831841304.0
8.,8.,8.,Chi phí quản lý doanh nghiệp,26,27,85.383.760.166,29.782.557.603,,26.0,27.0,85383760166.0,29782557603.0
9.,9.,9.,Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),30,,3.513.869.180.835,853.798.150.379,,30.0,,3513869180835.0,853798150379.0
10.,10.,10.,Thu nhập khác,31,,164.597,21.416.754,,31.0,,164597.0,21416754.0
11.,11.,11.,Chi phí khác,32,,1.714.377.615,7.226,,32.0,,1714377615.0,7226.0
12.,12.,12.,(Lỗ)/lợi nhuận khác (40=31-32),40,,(1.714.213.018),21.409.528,,40.0,,-1714213018.0,21409528.0
13.,13.,13.,Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,3.512.154.967.817,853.819.559.907,,50.0,,3512154967817.0,853819559907.0
14.,14.,14.,Chi phí thuế thu nhập doanh nghiệp hiện hành,51,29,258.477.110.660,-,,51.0,29.0,258477110660.0,
15.,15.,15.,Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51),60,,3.253.677.857.157,853.819.559.907,,60.0,,3253677857157.0,853819559907.0
