row_label_raw,row_label_full,col_0,Phân mèmmáy tính,Tổng,numeric__Phân mèmmáy tính,numeric__Tổng
,,,VND,VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,17.644.588.750,17.644.588.750,17644588750.0,17644588750.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,17.644.588.750,17.644.588.750,17644588750.0,17644588750.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,4.500.581.668,4.500.581.668,4500581668.0,4500581668.0
Hao mòn trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Hao mòn trong năm,Hao mòn trong năm,3.511.237.750,3.511.237.750,3511237750.0,3511237750.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,8.011.819.418,8.011.819.418,8011819418.0,8011819418.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,13.144.007.082,13.144.007.082,13144007082.0,13144007082.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,9.632.769.332,9.632.769.332,9632769332.0,9632769332.0
