row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > VND Giá trị hợp lý,Số cuối năm > Giá gốc_1,Số cuối năm > Dự phòng_1,Số đầu năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > VND Giá trị hợp lý,numeric__Số cuối năm > Giá gốc_1,numeric__Số cuối năm > Dự phòng_1,numeric__Số đầu năm > VND Giá trị hợp lý
Đầu tư vào công ty con,Đầu tư vào công ty con,Đầu tư vào công ty con,5.091.451.443.727 (29.263.299.728),5.091.451.443.727 (29.263.299.728),5.091.451.443.727 (29.263.299.728),4.707.309.678.727 (30.173.431.011),4.707.309.678.727 (30.173.431.011),4.707.309.678.727 (30.173.431.011),,,,,,
Công ty Cổ phần Dây cấp điện Việt Nam,Đầu tư vào công ty con > Công ty Cổ phần Dây cấp điện Việt Nam,Công ty Cổ phần Dây cấp điện Việt Nam,1.635.051.441.670,-,(ii),1.638.256.526.670,-,(ii),1635051441670.0,,,1638256526670.0,,
Công ty Cổ phần Thiết bị điện,Đầu tư vào công ty con > Công ty Cổ phần Thiết bị điện,Công ty Cổ phần Thiết bị điện,985.139.460.770,-,(ii),985.139.460.770,-,(ii),985139460770.0,,,985139460770.0,,
Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Đầu tư vào công ty con > Công ty Cổ phần Chế tạo Điện cơ Hà Nội,Công ty Cổ phần Chế tạo Điện cơ Hà Nội,332.061.707.611,-,(ii),332.061.707.611,-,(ii),332061707611.0,,,332061707611.0,,
Công ty Cổ phần Thiết bị đo điện EMIC,Đầu tư vào công ty con > Công ty Cổ phần Thiết bị đo điện EMIC,Công ty Cổ phần Thiết bị đo điện EMIC,327.355.950.000,-,(ii),112.485.000.000,-,(ii),327355950000.0,,,112485000000.0,,
Công ty Dây đồng Việt Nam CFT,Đầu tư vào công ty con > Công ty Dây đồng Việt Nam CFT,Công ty Dây đồng Việt Nam CFT,355.644.952.503,-,(ii),355.644.952.503,-,(ii),355644952503.0,,,355644952503.0,,
Công ty TNHH Phát điện GELEX,Đầu tư vào công ty con > Công ty TNHH Phát điện GELEX,Công ty TNHH Phát điện GELEX,882.715.444.864,-,(ii),882.715.444.864,-,(ii),882715444864.0,,,882715444864.0,,
Công ty Cổ phần Sản xuất Máy biển áp,Đầu tư vào công ty con > Công ty Cổ phần Sản xuất Máy biển áp,Công ty Cổ phần Sản xuất Máy biển áp,492.219.086.309,-,(ii),345.671.586.309 (16.413.502.370),345.671.586.309 (16.413.502.370),(ii),492219086309.0,,,,,
Truyền tải MEE,Truyền tải MEE,Truyền tải MEE,,,,,,,,,,,,
Công ty Cổ phần Mua bán Điện GELEX,Công ty Cổ phần Mua bán Điện GELEX,Công ty Cổ phần Mua bán Điện GELEX,55.335.000.000 (28.318.376.384),55.335.000.000 (28.318.376.384),(ii),55.335.000.000 (13.759.928.641),55.335.000.000 (13.759.928.641),(ii),,,,,,
Công ty TNHH GELEX Technology,Công ty TNHH GELEX Technology,Công ty TNHH GELEX Technology,25.928.400.000 (944.923.344),25.928.400.000 (944.923.344),(ii),-,-,,,,,,,
Đầu tư vào công ty liên kết,Công ty TNHH GELEX Technology > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,1.183.381.258.737,-,1.740.024.630.600,-,-,-,1183381258737.0,,1740024630600.0,,,
Tổng Công ty Thiết bị điện Đông Anh - Công ty Cổ phần (i),Công ty TNHH GELEX Technology > Tổng Công ty Thiết bị điện Đông Anh - Công ty Cổ phần (i),Tổng Công ty Thiết bị điện Đông Anh - Công ty Cổ phần (i),1.183.381.258.737,-,1.740.024.630.600,-,-,-,1183381258737.0,,1740024630600.0,,,
Đầu tư vào đơn vị khác,Công ty TNHH GELEX Technology > Đầu tư vào đơn vị khác,Đầu tư vào đơn vị khác,-,-,1.111.361.869.099,-,,,,,1111361869099.0,,,
Công ty Cổ phần Hạ tầng GELEX (iii),Công ty TNHH GELEX Technology > Công ty Cổ phần Hạ tầng GELEX (iii),Công ty Cổ phần Hạ tầng GELEX (iii),-,-,1.111.361.869.099,-,,(ii),,,1111361869099.0,,,
,,,6.274.832.702.464 (29.263.299.728),6.274.832.702.464 (29.263.299.728),5.818.671.547.826 (30.173.431.011),5.818.671.547.826 (30.173.431.011),5.818.671.547.826 (30.173.431.011),5.818.671.547.826 (30.173.431.011),,,,,,
