row_label_raw,row_label_full,Thuế phải trả (xem Thuyết minh 34),31/12/2016Triệu VND > 230.666,31/12/2015Triệu VND > 251.316,numeric__31/12/2016Triệu VND > 230.666,numeric__31/12/2015Triệu VND > 251.316
- Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp phải trả,- Thuế thu nhập doanh nghiệp phải trả,113.522,181.477,113522.0,181477.0
- Thuế giá trị gia tăng chờ nộp ngân sách,- Thuế giá trị gia tăng chờ nộp ngân sách,- Thuế giá trị gia tăng chờ nộp ngân sách,29.483,24.641,29483.0,24641.0
- Các thuế khác phải trả,- Các thuế khác phải trả,- Các thuế khác phải trả,87.661,45.198,87661.0,45198.0
Lãi nhận trước chờ phân bổ,Lãi nhận trước chờ phân bổ,Lãi nhận trước chờ phân bổ,32.966,30.483,32966.0,30483.0
Phải trả xây dựng và mua sắm tài sản cố định,Phải trả xây dựng và mua sắm tài sản cố định,Phải trả xây dựng và mua sắm tài sản cố định,128.468,137.828,128468.0,137828.0
Tiền giữ hộ chờ thanh toán,Tiền giữ hộ chờ thanh toán,Tiền giữ hộ chờ thanh toán,161.071,182.115,161071.0,182115.0
Các khoản khác phải trả khách hàng,Các khoản khác phải trả khách hàng,Các khoản khác phải trả khách hàng,525.297,189.772,525297.0,189772.0
Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,Các khoản chờ thanh toán khác,346.219,106.740,346219.0,106740.0
Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,64.528,64.528,64528.0,64528.0
Vốn vay từ các tổ chức khác,Vốn vay từ các tổ chức khác,Vốn vay từ các tổ chức khác,-,1.500.000,,1500000.0
Vốn vay Bộ tài chính,Vốn vay Bộ tài chính,Vốn vay Bộ tài chính,651.693,545.838,651693.0,545838.0
Phải trả khác,Phải trả khác,Phải trả khác,774.321,1.034.466,774321.0,1034466.0
,,,2.915.229,4.043.086,2915229.0,4043086.0
