row_label_raw,row_label_full,col_0,col_1,Thuyết minh,Năm kết thúc 31/12/2016 Triệu VND,Năm kết thúc 31/12/2015 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__Năm kết thúc 31/12/2016 Triệu VND,numeric__Năm kết thúc 31/12/2015 Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,22,37.713.172,31.360.729,,22.0,37713172.0,31360729.0
2,2,2,Chi phí lãi và các chi phí tương tự,23,(19.185.461),(15.907.697),,23.0,-19185461.0,-15907697.0
I,I,I,Thu nhập lãi thuần,,18.527.711,15.453.032,,,18527711.0,15453032.0
3,3,3,Thu nhập từ hoạt động dịch vụ,,4.326.483,3.557.304,,,4326483.0,3557304.0
4,4,4,Chi phí từ hoạt động dịch vụ,,(2.219.778),(1.684.656),,,-2219778.0,-1684656.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,24,2.106.705,1.872.648,,24.0,2106705.0,1872648.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,25,1.850.118,1.572.574,,25.0,1850118.0,1572574.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,26,495.768,197.475,,26.0,495768.0,197475.0
V,V,V,(Lỗ)/ lãi thuần từ mua bán chứng khoán đầu tư,27,(89.416),152.354,,27.0,-89416.0,152354.0
5,5,5,Thu nhập từ hoạt động khác,,2.293.539,2.140.550,,,2293539.0,2140550.0
6,6,6,Chi phí hoạt động khác,,(376.349),(235.271),,,-376349.0,-235271.0
VI,VI,VI,Lãi thuần từ hoạt động khác,28,1.917.190,1.905.279,,28.0,1917190.0,1905279.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",29,71.556,48.435,,29.0,71556.0,48435.0
,,,TỔNG THU NHẬP HOẠT ĐỘNG,,24.879.632,21.201.797,,,24879632.0,21201797.0
VIII,VIII,VIII,CHI PHÍ HOẠT ĐỘNG,30,(9.950.443),(8.306.249),,30.0,-9950443.0,-8306249.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,14.929.189,12.895.548,,,14929189.0,12895548.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,31,(6.406.106),(6.068.091),,31.0,-6406106.0,-6068091.0
XI,XI,XI,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,8.523.083,6.827.457,,,8523083.0,6827457.0
