row_label_raw,row_label_full,col_0,col_1,Dịch vụ tài chính ngân hàng Triệu VND,Dịch vụ tài chính phi ngân hàng Triệu VND,Chứng khoán Triệu VND,Khác Triệu VND,Loại trừ Triệu VND,Tổng cộng Triệu VND,numeric__col_1,numeric__Dịch vụ tài chính ngân hàng Triệu VND,numeric__Dịch vụ tài chính phi ngân hàng Triệu VND,numeric__Chứng khoán Triệu VND,numeric__Khác Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng cộng Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,37.417.879(19.145.712),247.250(94.516),142.517(62.346),22.639-,(117.113)117.113,37.713.172(19.185.461),,,,,,,
2,2,2,Chi phí lãi và các chi phí tương tự,37.417.879(19.145.712),247.250(94.516),142.517(62.346),22.639-,(117.113)117.113,37.713.172(19.185.461),,,,,,,
I,2 > I,I,Thu nhập lãi thuần,18.272.167,152.734,80.171,22.639,-,18.527.711,,18272167.0,152734.0,80171.0,22639.0,,18527711.0
3,3,3,Thu nhập từ hoạt động dịch vụ,4.148.732(2.156.969),6.096(906),138.473(34.095),131.720(51.757),(98.538)23.949,4.326.483(2.219.778),,,,,,,
4,4,4,Chi phí từ hoạt động dịch vụ,4.148.732(2.156.969),6.096(906),138.473(34.095),131.720(51.757),(98.538)23.949,4.326.483(2.219.778),,,,,,,
II,4 > II,II,Lãi thuần từ hoạt động dịch vụ,1.991.763,5.190,104.378,79.963,(74.589),2.106.705,,1991763.0,5190.0,104378.0,79963.0,-74589.0,2106705.0
III,4 > III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,1.849.413,704,-,1,-,1.850.118,,1849413.0,704.0,,1.0,,1850118.0
IV,4 > IV,IV,Lãi/(Lỗ) thuần từ mua bán chứng khoán kinh doanh,461.891,-,33.877,-,-,495.768,,461891.0,,33877.0,,,495768.0
V,4 > V,V,Lãi thuần từ mua bán chứng khoán đầu tư,(89.416),-,,-,-,(89.416),,-89416.0,,,,,-89416.0
5,5,5,Thu nhập từ hoạt động khác,2.285.798(370.561),10.217(5.784),133(4),555-,(3.164)-,2.293.539(376.349),,,,,,,
6,6,6,Chi phí hoạt động khác,2.285.798(370.561),10.217(5.784),133(4),555-,(3.164)-,2.293.539(376.349),,,,,,,
VI,6 > VI,VI,Lãi/(Lỗ) thuần từ hoạt động khác,1.915.237,4.433,129,555,(3.164),1.917.190,,1915237.0,4433.0,129.0,555.0,-3164.0,1917190.0
VII,6 > VII,VII,"Thu nhập từ góp vốn, mua cổ phần",63.650,-,7.906,-,-,71.556,,63650.0,,7906.0,,,71556.0
VII,6 > VII,VII,Tổng thu nhập hoạt động,24.464.705,163.061,226.461,103.158,(77.753),24.879.632,,24464705.0,163061.0,226461.0,103158.0,-77753.0,24879632.0
VIII,6 > VIII,VIII,Tổng chi phí hoạt động,(9.781.671),(69.813),(146.287),(30.425),77.753,(9.950.443),,-9781671.0,-69813.0,-146287.0,-30425.0,77753.0,-9950443.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,14.683.034(6.387.396),93.248(18.710),80.174-,72.733-,-,14.929.189(6.406.106),,,,,,,
X,X,X,Chi phí dự phòng rủi ro tín dụng,14.683.034(6.387.396),93.248(18.710),80.174-,72.733-,-,14.929.189(6.406.106),,,,,,,
XI,XI,XI,Tổng lợi nhuận trước thuế,8.295.638(1.625.068),74.538(14.843),80.174(14.454),72.733(17.717),-,8.523.083(1.672.082),,,,,,,
7,7,7,Chi phí thuế thu nhập doanh nghiệp hiện hành,8.295.638(1.625.068),74.538(14.843),80.174(14.454),72.733(17.717),-,8.523.083(1.672.082),,,,,,,
8,8,8,Chi phí thuế thu nhập doanh nghiệp hoãn lại,-,-,-,-,-,-,,,,,,,
XII,8 > XII,XII,Chi phí thuế thu nhập doanh nghiệp,(1.625.068),(14.843),(14.454),(17.717),-,(1.672.082),,-1625068.0,-14843.0,-14454.0,-17717.0,,-1672082.0
XIII,8 > XIII,XIII,Lợi nhuận sau thuế,6.670.570,59.695,65.720,55.016,-,6.851.001,,6670570.0,59695.0,65720.0,55016.0,,6851001.0
